Rank,PLAYER,ELIG. POS.
1.0,Christian Yelich,OF
2.0,Mookie Betts,OF
3.0,Mike Trout,OF
4.0,Ronald Acuña,OF
5.0,Juan Soto,OF
6.0,Anthony Rendon,3B
7.0,Cody Bellinger,1B/OF
8.0,Freddie Freeman,1B
9.0,Alex Bregman,3B/SS
10.0,Nolan Arenado,3B
11.0,Justin Verlander,SP
12.0,J.D. Martinez,OF
13.0,Jacob deGrom,SP
14.0,Francisco Lindor,SS
15.0,Whit Merrifield,2B/OF
16.0,Charlie Blackmon,OF
17.0,Trevor Story,SS
18.0,Fernando Tatis,SS
19.0,Jose Altuve,2B
20.0,Max Scherzer,SP
21.0,Xander Bogaerts,SS
22.0,Jack Flaherty,SP
23.0,Walker Buehler,SP
24.0,Ketel Marte,2B/SS/OF
25.0,Rafael Devers,3B
26.0,Trea Turner,SS
27.0,Roberto Osuna,RP
28.0,Bryan Reynolds,OF
29.0,Yordan Alvarez,OF
30.0,José Ramírez,3B
31.0,Ozzie Albies,2B
32.0,Bo Bichette,SS
33.0,Josh Hader,RP
34.0,Bryce Harper,OF
35.0,Austin Meadows,OF
36.0,Kirby Yates,RP
37.0,Chris Sale,SP
38.0,Kris Bryant,3B/OF
39.0,Gerrit Cole,SP
40.0,Keston Hiura,2B
41.0,Tommy Pham,OF
42.0,Aroldis Chapman,RP
43.0,Taylor Rogers,RP
44.0,Seth Lugo,RP
45.0,DJ LeMahieu,1B/2B/3B
46.0,Mike Clevinger,SP
47.0,Yoán Moncada,3B
48.0,Tyler Glasnow,SP
49.0,Shane Bieber,SP
50.0,Keone Kela,RP
51.0,Aaron Judge,OF
52.0,Stephen Strasburg,SP
53.0,Brandon Workman,RP
54.0,Nick Anderson,RP
55.0,Carlos Santana,1B
56.0,Héctor Neris,RP
57.0,George Springer,OF
58.0,Paul Goldschmidt,1B
59.0,Nick Castellanos,OF
60.0,Jorge Polanco,SS
61.0,Pete Alonso,1B
62.0,Sean Doolittle,RP
63.0,Javier Báez,SS
64.0,Brad Hand,RP
65.0,Josh Bell,1B
66.0,Drew Pomeranz,SP/RP
67.0,Michael Conforto,OF
68.0,Vladimir Guerrero,3B
69.0,Edwin Díaz,RP
70.0,Marcus Semien,SS
71.0,Zack Greinke,SP
72.0,Anthony Rizzo,1B
73.0,Starling Marte,OF
74.0,Will Harris,RP
75.0,Will Smith,RP
76.0,Eloy Jiménez,OF
77.0,Kenley Jansen,RP
78.0,Jeff McNeil,2B/3B/OF
79.0,Tyler Duffey,RP
80.0,Giovanny Gallegos,RP
81.0,Eduardo Escobar,2B/3B
82.0,Ken Giles,RP
83.0,Adam Ottavino,RP
84.0,Emilio Pagán,RP
85.0,Hunter Dozier,1B/3B/OF
86.0,Andrew Benintendi,OF
87.0,Manny Machado,3B/SS
88.0,Michael Brantley,OF
89.0,Liam Hendriks,RP
90.0,Zack Britton,RP
91.0,Hansel Robles,RP
92.0,Ian Kennedy,RP
93.0,Max Muncy,1B/2B/3B
94.0,Josh Donaldson,3B
95.0,Yusmeiro Petit,RP
96.0,Ryan Pressly,RP
97.0,Chris Paddack,SP
98.0,Rafael Montero,RP
99.0,Luis Castillo,SP
100.0,José Abreu,1B
101.0,Corey Kluber,SP
102.0,Scott Oberg,RP
103.0,Brandon Woodruff,SP
104.0,Clayton Kershaw,SP
105.0,Archie Bradley,RP
106.0,Pedro Báez,RP
107.0,Tommy Edman,2B/3B/OF
108.0,Nate Pearson,SP
109.0,Roenis Elías,RP
110.0,Shogo Akiyama,OF
111.0,Adam Kolarek,RP
112.0,Tony Watson,RP
113.0,Luis Severino,SP
114.0,John Brebbia,RP
115.0,Brandon Kintzler,RP
116.0,Craig Kimbrel,RP
117.0,Alex Colomé,RP
118.0,Nelson Cruz,Util
119.0,Blake Snell,SP
120.0,Trey Mancini,1B/OF
121.0,Nick Wittgren,RP
122.0,Tommy Kahnle,RP
123.0,Justin Wilson,RP
124.0,Matt Chapman,3B
125.0,Chris Martin,RP
126.0,Victor Robles,OF
127.0,Colin Poche,RP
