Rank. Name Team - ELIG. POS.
1. Christian Yelich Mil - OF
10. Nolan Arenado Col - 3B
100. José Abreu CWS - 1B
101. Corey Kluber Tex - SP
102. Scott Oberg Col - RP
103. Brandon Woodruff Mil - SP
104. Clayton Kershaw LAD - SP
105. Archie Bradley Ari - RP
106. Pedro Báez LAD - RP
107. Tommy Edman StL - 2B,3B,OF
108. Nate Pearson Tor - SP
109. Roenis Elías Was - RP
11. Justin Verlander Hou - SP
110. Shogo Akiyama Cin - OF
111. Adam Kolarek LAD - RP
112. Tony Watson SF - RP
113. Luis Severino NYY - SP
114. John Brebbia StL - RP
115. Brandon Kintzler Mia - RP
116. Craig Kimbrel ChC - RP
117. Alex Colomé CWS - RP
118. Nelson Cruz Min - Util
119. Blake Snell TB - SP
12. J.D. Martinez Bos - OF
120. Trey Mancini Bal - 1B,OF
121. Nick Wittgren Cle - RP
122. Tommy Kahnle NYY - RP
123. Justin Wilson NYM - RP
124. Matt Chapman Oak - 3B
125. Chris Martin Atl - RP
126. Victor Robles Was - OF
127. Colin Poche TB - RP
128. Carlos Martínez StL - RP
129. Daniel Hudson Was - RP
13. Jacob deGrom NYM - SP
130. Andres Muñoz SD - RP
131. Yu Darvish ChC - SP
132. Diego Castillo TB - SP,RP
133. Raisel Iglesias Cin - RP
134. Mike Soroka Atl - SP
135. Steve Cishek CWS - RP
136. Robert Stephenson Cin - RP
137. Aaron Bummer CWS - RP
138. Yoan López Ari - RP
139. Noah Syndergaard NYM - SP
14. Francisco Lindor Cle - SS
140. José Berríos Min - SP
141. David Peralta Ari - OF
142. Jorge Soler KC - OF
143. Gleyber Torres NYY - 2B,SS
144. José Leclerc Tex - SP,RP
145. Yonny Chirinos TB - SP,RP
146. Lucas Giolito CWS - SP
147. Craig Stammen SD - RP
148. Sergio Romo Min - RP
149. Giancarlo Stanton NYY - OF
15. Whit Merrifield KC - 2B,OF
150. Matt Olson Oak - 1B
151. Keynan Middleton LAA - RP
152. James Paxton NYY - SP
153. Casey Mize Det - SP
154. Dustin May LAD - SP,RP
155. Brendan McKay (Pitcher) TB - SP
156. Tony Gonsolin LAD - SP,RP
157. Elvis Andrus Tex - SS
158. Kevin Newman Pit - 2B,SS
159. Corey Knebel Mil - RP
16. Charlie Blackmon Col - OF
160. Adam Morgan Phi - RP
161. Eddie Rosario Min - OF
162. Mark Melancon Atl - RP
163. Patrick Corbin Was - SP
164. Charlie Morton TB - SP
165. Joey Votto Cin - 1B
166. MacKenzie Gore SD - SP
167. Justin Turner LAD - 3B
168. Hyun-Jin Ryu Tor - SP
169. Trevor May Min - RP
17. Trevor Story Col - SS
170. Shane Greene Atl - RP
171. Rowan Wick ChC - RP
172. Eugenio Suárez Cin - 3B
173. Randy Dobnak Min - SP
174. Emmanuel Clase Cle - RP
175. Luis Patiño SD - SP
176. Sixto Sánchez Mia - SP
177. José Álvarez Phi - RP
178. Jean Segura Phi - SS
179. Richard Rodríguez Pit - RP
18. Fernando Tatis Jr. SD - SS
180. Chad Green NYY - SP,RP
181. Tim Anderson CWS - SS
182. Yuli Gurriel Hou - 1B,3B
183. Rhys Hoskins Phi - 1B
184. Pedro Strop Cin - RP
185. J.T. Realmuto Phi - C
186. Tyler Rogers SF - RP
187. Adam Cimber Cle - RP
188. Carlos Correa Hou - SS
189. Aaron Civale Cle - SP
19. Jose Altuve Hou - 2B
190. Brusdar Graterol LAD - RP
191. Matt Manning Det - SP
192. Corey Seager LAD - SS
193. Anthony Bass Tor - RP
194. César Hernández Cle - 2B
195. Dellin Betances NYM - RP
196. Josh James Hou - RP
197. Seranthony Domínguez Phi - RP
198. Andrew McCutchen Phi - OF
199. Kyle Crick Pit - RP
2. Mookie Betts LAD - OF
20. Max Scherzer Was - SP
200. Andrew Chafin Ari - RP
201. Michael Lorenzen (Pitcher) Cin - RP
202. Oliver Drake TB - RP
203. Brad Peacock Hou - SP,RP
204. Sam Tuivailala Sea - RP
205. Luis Arraez Min - 2B,3B,OF
206. Ryan Yarbrough TB - SP,RP
207. Carlos Carrasco Cle - SP,RP
208. Lorenzo Cain Mil - OF
209. Oscar Mercado Cle - OF
21. Xander Bogaerts Bos - SS
210. Joe Jiménez Det - RP
211. Kyle Hendricks ChC - SP
212. Chris Bassitt Oak - SP
213. Forrest Whitley Hou - SP
214. Adam Eaton Was - OF
215. Jonathan Villar Mia - 2B,SS
216. Shin-soo Choo Tex - OF
217. Carl Edwards Jr. Sea - RP
218. Julio Urías LAD - SP,RP
219. Marcus Walden Bos - RP
22. Jack Flaherty StL - SP
220. Ty Buttrey LAA - RP
221. Cam Bedrosian LAA - SP,RP
222. Nick Senzel Cin - OF
223. Yasiel Puig Cle - OF
224. Matt Magill Sea - RP
225. José Alvarado TB - RP
226. Shohei Ohtani (Pitcher) LAA - SP
227. Mychal Givens Bal - RP
228. Michael Feliz Pit - RP
229. Chaz Roe TB - RP
23. Walker Buehler LAD - SP
230. Matt Barnes Bos - RP
231. Jesús Luzardo Oak - RP
232. A.J. Puk Oak - RP
233. John Gant StL - RP
234. Masahiro Tanaka NYY - SP
235. Ryne Stanek Mia - SP,RP
236. Gavin Lux LAD - 2B
237. Ramón Laureano Oak - OF
238. Trevor Bauer Cin - SP
239. Marcell Ozuna Atl - OF
24. Ketel Marte Ari - 2B,SS,OF
240. Daniel Ponce de Leon StL - SP,RP
241. Blake Treinen LAD - RP
242. Frankie Montas Oak - SP
243. Heath Hembree Bos - RP
244. Miles Mikolas StL - SP
245. Madison Bumgarner Ari - SP
246. Sean Manaea Oak - SP
247. Buck Farmer Det - RP
248. Luke Jackson Atl - RP
249. Jarlin García SF - RP
25. Rafael Devers Bos - 3B
250. Joely Rodríguez Tex - RP
251. Jon Duplantier Ari - SP,RP
252. Domingo Germán NYY - SP
253. Cavan Biggio Tor - 2B,OF
254. Aaron Nola Phi - SP
255. Brandon Brennan Sea - RP
256. Zac Gallen Ari - SP
257. David Fletcher LAA - 2B,3B,SS,OF
258. Héctor Rondón Ari - RP
259. Amir Garrett Cin - RP
26. Trea Turner Was - SS
260. Kyle Ryan ChC - RP
261. Jaime Barria LAA - SP,RP
262. Amed Rosario NYM - SS
263. Scott Barlow KC - RP
264. Willie Calhoun Tex - OF
265. Mike Minor Tex - SP
266. David Dahl Col - OF
267. Zack Wheeler Phi - SP
268. Joakim Soria Oak - RP
269. Luis Robert CWS - OF
27. Roberto Osuna Hou - RP
270. Nick Markakis Atl - OF
271. David Price LAD - SP
272. Ross Stripling LAD - SP,RP
273. Mike Yastrzemski SF - OF
274. Kwang-Hyun Kim StL - RP
275. Sonny Gray Cin - SP
276. Brent Suter Mil - RP
277. Eric Hosmer SD - 1B
278. Eduardo Rodriguez Bos - SP
279. Joe Kelly LAD - RP
28. Bryan Reynolds Pit - OF
280. Christian Walker Ari - 1B
281. Ryan McMahon Col - 1B,2B,3B
282. Alex Wood LAD - SP
283. Andrew Miller StL - RP
284. Griffin Canning LAA - SP
285. Adalberto Mondesi KC - SS
286. Tanner Rainey Was - RP
287. Matt Strahm SD - SP,RP
288. Kenta Maeda Min - SP,RP
289. Shawn Armstrong Bal - RP
29. Yordan Alvarez Hou - OF
290. Bryse Wilson Atl - SP
291. Kevin McCarthy KC - RP
292. Michael Pineda Min - SP
293. Carlos Estévez Col - RP
294. Mike Moustakas Cin - 2B,3B
295. Adrian Houser Mil - SP,RP
296. Shaun Anderson SF - SP,RP
297. Brett Gardner NYY - OF
298. Paul DeJong StL - SS
299. Jairo Díaz Col - RP
3. Mike Trout LAA - OF
30. José Ramírez Cle - 3B
300. Dinelson Lamet SD - SP
301. Kelvin Herrera CWS - RP
302. Miguel Andújar NYY - Util
303. Kyle Schwarber ChC - OF
304. J.D. Davis NYM - 3B,OF
305. Brian Anderson Mia - 3B,OF
306. Alex Verdugo Bos - OF
307. Lourdes Gurriel Jr. Tor - 2B,OF
308. Lance McCullers Jr. Hou - SP
309. Jake Odorizzi Min - SP
31. Ozzie Albies Atl - 2B
310. Luke Voit NYY - 1B
311. Ian Anderson Atl - SP
312. Starlin Castro Was - 2B,3B
313. Joey Gallo Tex - OF
314. Jeurys Familia NYM - RP
315. Shohei Ohtani (Batter) LAA - Util
316. Sam Hilliard Col - OF
317. Wade Davis Col - RP
318. Max Kepler Min - OF
319. Chris Taylor LAD - 2B,SS,OF
32. Bo Bichette Tor - SS
320. Garrett Hampson Col - 2B,SS,OF
321. Anthony DeSclafani Cin - SP
322. Didi Gregorius Phi - SS
323. Garrett Richards SD - SP
324. Cole Hamels Atl - SP
325. Franmil Reyes Cle - OF
326. Edwin Encarnación CWS - 1B
327. Matt Carpenter StL - 3B
328. Willy Adames TB - SS
329. Adam Frazier Pit - 2B
33. Josh Hader Mil - RP
330. Kyle Wright Atl - SP
331. Mike Fiers Oak - SP
332. A.J. Pollock LAD - OF
333. Josh Lindblom Mil - RP
334. Jon Gray Col - SP
335. Yoshi Tsutsugo TB - 3B,OF
336. Max Fried Atl - SP
337. Michael Kopech CWS - SP
338. Steven Matz NYM - SP
339. Mike Foltynewicz Atl - SP
34. Bryce Harper Phi - OF
340. Joe Musgrove Pit - SP
341. Ji-Man Choi TB - 1B
342. Jo Adell LAA - OF
343. Freddy Peralta Mil - SP,RP
344. Mark Canha Oak - 1B,OF
345. Brandon Lowe TB - 1B,2B,OF
346. Zach Davies SD - SP
347. Lance Lynn Tex - SP
348. Tyler Anderson SF - SP
349. Scott Kingery Phi - 2B,3B,SS,OF
35. Austin Meadows TB - OF
350. Yasmani Grandal CWS - C,1B
351. Miguel Sanó Min - 1B,3B
352. J.A. Happ NYY - SP
353. Brett Anderson Mil - SP
354. Luis Urías Mil - 2B,SS
355. Jordan Montgomery NYY - P
356. Kyle Tucker Hou - OF
357. German Márquez Col - SP
358. Aníbal Sánchez Was - SP
359. José Martínez TB - OF
36. Kirby Yates SD - RP
360. Erik Swanson Sea - SP,RP
361. Harold Ramírez Mia - OF
362. Matthew Boyd Det - SP
363. Adam Conley Mia - RP
364. Nick Ahmed Ari - SS
365. Marcus Stroman NYM - SP
366. Nomar Mazara CWS - OF
367. Nick Solak Tex - 2B,3B
368. Matt Shoemaker Tor - SP
369. Adam Plutko Cle - SP
37. Chris Sale Bos - SP
370. Cal Quantrill SD - SP,RP
371. Luke Weaver Ari - SP
372. Miguel Castro Bal - RP
373. Michael Chavis Bos - 1B,2B
374. Domingo Santana Cle - OF
375. Dallas Keuchel CWS - SP
376. Robbie Ray Ari - SP
377. Mallex Smith Sea - OF
378. Zach Eflin Phi - SP
379. Pablo López Mia - SP
38. Kris Bryant ChC - 3B,OF
380. Andrelton Simmons LAA - SS
381. Brandon Nimmo NYM - OF
382. Kolten Wong StL - 2B
383. Danny Santana Tex - 1B,2B,3B,SS,OF
384. Garrett Cooper Mia - 1B,OF
385. John Means Bal - SP
386. Khris Davis Oak - Util
387. Daniel Vogelbach Sea - 1B
388. Ryan Braun Mil - OF
389. Daniel Murphy Col - 1B
39. Gerrit Cole NYY - SP
390. Andrew Heaney LAA - SP
391. Jason Heyward ChC - OF
392. Avisaíl García Mil - OF
393. Corey Dickerson Mia - OF
394. Jeff Samardzija SF - SP
395. Asdrúbal Cabrera Was - 2B,3B
396. Freddy Galvis Cin - 2B,SS
397. Shun Yamaguchi Tor - SP
398. Yandy Díaz TB - 1B,3B
399. Jordan Yamamoto Mia - SP
4. Ronald Acuña Jr. Atl - OF
40. Keston Hiura Mil - 2B
400. Tyler Mahle Cin - SP
401. Victor Reyes Det - OF
402. Elieser Hernandez Mia - SP,RP
403. Alex Young Ari - SP
404. Nathan Eovaldi Bos - SP,RP
405. Mike Leake Ari - SP
406. Jakob Junis KC - SP
407. Dylan Cease CWS - SP
408. Corbin Burnes Mil - SP,RP
409. Manuel Margot TB - OF
41. Tommy Pham SD - OF
410. Renato Núñez Bal - 1B,3B
411. Jurickson Profar SD - 2B,OF
412. Kolby Allard Tex - SP
413. Willson Contreras ChC - C
414. Vince Velasquez Phi - SP,RP
415. Robinson Canó NYM - 2B
416. Mitch Keller Pit - SP
417. José Quintana ChC - SP
418. Asher Wojciechowski Bal - SP
419. Colin Moran Pit - 2B,3B
42. Aroldis Chapman NYY - RP
420. Dee Gordon Sea - 2B
421. Josh Reddick Hou - OF
422. Byron Buxton Min - OF
423. Jordan Lyles Tex - SP
424. Justin Upton LAA - OF
425. Jon Berti Mia - 3B,SS,OF
426. Wade Miley Cin - SP
427. Kevin Pillar Bos - OF
428. Alex Cobb Bal - SP
429. Brian Dozier Was - 2B
43. Taylor Rogers Min - RP
430. Dereck Rodríguez SF - SP,RP
431. Joey Lucchesi SD - SP
432. Merrill Kelly Ari - SP
433. Nate Lowe TB - 1B
434. Kole Calhoun Ari - OF
435. Gio Urshela NYY - 3B
436. Tyler Chatwood ChC - SP,RP
437. Hunter Renfroe TB - OF
438. Jacob Waguespack Tor - SP
439. Mauricio Dubon SF - 2B,SS
44. Seth Lugo NYM - RP
440. Dansby Swanson Atl - SS
441. Brandon Belt SF - 1B,OF
442. Chase Anderson Tor - SP,RP
443. Joc Pederson LAD - 1B,OF
444. Mitch Garver Min - C
445. Rougned Odor Tex - 2B
446. Dakota Hudson StL - SP
447. Julio Teheran LAA - SP
448. Mike Montgomery KC - SP,RP
449. Trevor Williams Pit - SP
45. DJ LeMahieu NYY - 1B,2B,3B
450. Hanser Alberto Bal - 2B,3B
451. Patrick Sandoval LAA - SP
452. Sandy Alcantara Mia - SP
453. Justin Smoak Mil - 1B
454. Dylan Bundy LAA - SP
455. Jake Arrieta Phi - SP
456. Adam Wainwright StL - SP
457. Jackie Bradley Jr. Bos - OF
458. Randal Grichuk Tor - OF
459. Mitch Haniger Sea - OF
46. Mike Clevinger Cle - SP
460. Teoscar Hernández Tor - OF
461. Aristides Aquino Cin - OF
462. Wil Myers SD - 1B,OF
463. Anthony Santander Bal - OF
464. Niko Goodrum Det - 1B,2B,SS,OF
465. Alex Dickerson SF - OF
466. Tyler Alexander Det - SP,RP
467. José Ureña Mia - SP,RP
468. Evan Longoria SF - 3B
469. Kevin Kiermaier TB - OF
47. Yoán Moncada CWS - 3B
470. Tommy La Stella LAA - 2B,3B
471. Chris Archer Pit - SP
472. Danny Duffy KC - SP
473. Kyle Freeland Col - SP
474. Eric Lauer Mil - SP
475. Gary Sánchez NYY - C
476. Clint Frazier NYY - OF
477. Marco Gonzales Sea - SP
478. Trent Grisham SD - OF
479. Marwin Gonzalez Min - 1B,3B,OF
48. Tyler Glasnow TB - SP
480. Jesse Winker Cin - OF
481. Spencer Turnbull Det - SP
482. Mitch Moreland Bos - 1B
483. Rick Porcello NYM - SP
484. Jonathan Schoop Det - 2B
485. Daniel Norris Det - SP
486. Kyle Seager Sea - 3B
487. C.J. Cron Det - 1B
488. Trent Thornton Tor - SP
489. Tanner Roark Tor - SP
49. Shane Bieber Cle - SP
490. Brad Keller KC - SP
491. Caleb Smith Mia - SP
492. Wilson Ramos NYM - C
493. Josh Naylor SD - OF
494. Justus Sheffield Sea - SP
495. Shed Long Sea - 2B,OF
496. José Iglesias Bal - SS
497. Francisco Mejía SD - C
498. Stephen Piscotty Oak - OF
499. Howie Kendrick Was - 1B,2B,3B
5. Juan Soto Was - OF
50. Keone Kela Pit - RP
500. Eric Thames Was - 1B,OF
501. Brandon Crawford SF - SS
502. Homer Bailey Min - SP
503. Mike Ford NYY - 1B
504. J.P. Crawford Sea - SS
505. Austin Riley Atl - OF
506. Kyle Gibson Tex - SP,RP
507. Carson Kelly Ari - C
508. Will Smith LAD - C
509. Austin Hays Bal - OF
51. Aaron Judge NYY - OF
