"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Cody Bellinger","Dodgers","150","640","544","156","30","3","42","100","116","86","117","4","12","5","",".287",".385",".584",".969",".392","","147","1.2","0.9","","40.7","0.0","6.0","15998"
"Freddie Freeman","Braves","150","662","568","166","36","2","33","98","103","81","126","7","6","3","",".293",".385",".541",".927",".382","","135","0.5","3.4","","30.9","-9.1","4.2","5361"
"Anthony Rizzo","Cubs","150","660","556","158","32","3","32","97","99","77","93","20","6","3","",".284",".388",".522",".910",".380","","135","-2.3","3.9","","28.3","-8.6","4.0","3473"
"Matt Olson","Athletics","150","642","558","142","29","1","38","91","103","68","158","10","1","1","",".255",".344",".515",".858",".355","","125","-0.7","5.8","","20.2","-6.7","3.5","14344"
"Paul Goldschmidt","Cardinals","150","663","566","154","29","2","31","91","91","84","158","6","5","2","",".273",".369",".494",".863",".362","","126","1.3","1.8","","24.2","-10.7","3.4","9218"
"Peter Alonso","Mets","150","663","573","144","27","2","44","98","105","68","167","14","2","1","",".252",".343",".534",".877",".361","","128","-0.5","1.3","","23.9","-11.2","3.3","19251"
"Rhys Hoskins","Phillies","150","656","543","131","27","3","36","93","96","99","153","9","4","2","",".242",".365",".499",".864",".362","","122","0.3","2.2","","19.7","-10.3","3.0","16472"
"Carlos Santana","Indians","150","654","544","141","30","1","29","92","93","99","103","5","3","1","",".260",".375",".482",".858",".360","","121","-0.4","0.0","","17.2","-12.9","2.7","2396"
"Max Muncy","Dodgers","136","582","486","117","21","1","29","81","79","82","153","6","4","2","",".241",".355",".467",".822",".347","","118","1.2","2.3","","14.8","-7.1","2.6","13301"
"Matt Carpenter","Cardinals","123","547","456","108","27","2","21","73","60","77","137","7","5","2","",".237",".352",".441",".793",".337","","110","-0.2","-5.8","","7.2","-4.0","2.0","8090"
"Joey Votto","Reds","150","670","557","150","30","1","23","92","76","97","123","7","4","1","",".270",".382",".452",".834",".356","","117","-4.0","0.0","","10.9","-12.5","2.0","4314"
"Brandon Belt","Giants","126","551","467","118","28","3","18","68","63","74","121","4","4","2","",".253",".358",".440",".798",".340","","112","-0.1","3.8","","8.9","-6.7","2.0","10264"
"Josh Bell","Pirates","150","641","549","151","32","3","29","83","94","82","121","4","2","1","",".274",".369",".503",".872",".362","","125","-2.2","-7.2","","18.5","-19.7","1.9","13145"
"Trey Mancini","Orioles","150","657","588","160","31","2","30","86","90","54","148","7","1","1","",".272",".338",".486",".824",".345","","113","-0.4","-3.6","","10.8","-14.5","1.9","15149"
"Jose Abreu","White Sox","149","658","598","165","35","1","32","87","101","42","139","12","3","1","",".275",".333",".497",".830",".344","","117","-2.2","-3.1","","11.9","-16.5","1.8","15676"
"Edwin Encarnacion","White Sox","130","558","477","117","19","1","33","78","88","69","128","7","1","1","",".246",".346",".497",".843",".352","","122","-2.6","-0.2","","13.4","-14.6","1.8","2151"
"Yuli Gurriel","Astros","149","620","574","166","37","2","24","81","93","33","75","6","5","2","",".289",".332",".485",".817",".341","","116","-1.7","-3.7","","10.9","-15.8","1.7","19198"
"C.J. Cron","Tigers","128","537","484","127","26","1","28","69","80","36","122","11","2","1","",".261",".324",".495",".819",".340","","111","-1.4","1.4","","6.0","-9.6","1.5","12546"
"Ji-Man Choi","Rays","107","457","391","97","20","2","18","57","58","57","113","5","3","1","",".247",".347",".442",".788",".335","","112","0.0","-0.3","","7.1","-9.5","1.3","5452"
"Ryan McMahon","Rockies","131","532","474","127","27","2","20","64","72","48","142","3","5","2","",".268",".337",".462",".799",".336","","92","0.3","-1.2","","-5.4","-0.5","1.1","15112"
"Michael Chavis","Red Sox","113","461","415","103","19","1","21","57","64","35","130","5","3","1","",".249",".312",".452",".764",".320","","94","-0.3","0.5","","-3.7","-2.3","1.0","17321"
"Justin Smoak","Brewers","107","462","390","93","18","1","24","61","67","64","109","4","1","0","",".239",".349",".472",".821",".346","","112","-2.2","-0.5","","4.8","-9.7","1.0","9054"
"Victor Caratini","Cubs","60","244","216","57","12","1","7","27","29","21","50","3","1","0","",".263",".334",".420",".754",".322","","97","-0.1","-0.3","","-1.0","2.5","0.9","14968"
"Wilmer Flores","Giants","82","341","311","87","19","1","12","39","44","21","41","4","1","0","",".280",".331",".462",".793",".334","","109","-1.1","-2.0","","2.7","-4.7","0.9","5827"
"Luke Voit","Yankees","105","450","389","97","17","1","19","59","59","49","119","6","1","0","",".250",".341",".446",".787",".334","","108","-0.6","-2.0","","4.1","-11.2","0.9","14811"
"Daniel Vogelbach","Mariners","91","380","317","74","13","0","17","46","48","56","94","2","1","0","",".232",".348",".434",".783",".335","","112","-0.3","0.1","","5.6","-10.2","0.9","14130"
"Marwin Gonzalez","Twins","75","307","276","74","16","1","10","38","40","25","66","3","1","1","",".269",".334",".444",".777",".328","","103","-0.3","-0.7","","0.9","-3.2","0.8","5497"
"Eric Hosmer","Padres","146","635","572","150","27","2","24","75","81","53","141","3","3","2","",".263",".327",".441",".767",".323","","100","-1.3","0.8","","-1.2","-11.3","0.8","3516"
"Mitch Moreland","Red Sox","110","463","410","103","24","2","20","60","67","44","108","3","2","1","",".251",".326",".468",".794",".333","","103","-1.6","0.7","","0.0","-8.8","0.7","3086"
"Christian Walker","Diamondbacks","125","519","459","114","24","2","22","62","71","48","139","6","4","2","",".248",".325",".453",".777",".326","","99","0.4","1.6","","-0.6","-8.8","0.7","13419"
"Miguel Cabrera","Tigers","138","603","536","149","28","1","20","72","77","58","124","4","1","0","",".277",".350",".444",".794",".336","","108","-4.6","0.0","","1.7","-15.9","0.7","1744"
"Garrett Cooper","Marlins","93","402","363","95","20","1","12","44","46","31","100","4","1","0","",".263",".325",".424",".749",".318","","99","-0.5","0.6","","-1.2","-5.8","0.6","15279"
"Jesus Aguilar","Marlins","97","403","354","86","17","1","17","46","52","41","99","4","1","0","",".242",".325",".442",".766",".324","","103","-0.8","0.5","","0.5","-7.6","0.6","11342"
"Mike Ford","Yankees","42","170","148","38","7","0","9","23","25","18","33","2","1","0","",".255",".340",".486",".826",".345","","116","0.1","-0.3","","3.5","-3.9","0.5","15585"
"Austin Nola","Mariners","103","432","387","93","19","1","9","42","43","35","95","5","3","1","",".241",".310",".368",".677",".292","","84","0.3","0.3","","-8.8","-1.6","0.5","15941"
"Rowdy Tellez","Blue Jays","58","243","219","55","12","0","11","30","34","19","60","2","2","1","",".251",".316",".462",".778",".325","","102","0.0","0.3","","0.6","-5.1","0.4","15679"
"Jose Martinez","Rays","57","238","213","57","10","1","7","28","28","21","51","1","2","1","",".270",".338",".426",".764",".326","","106","-0.2","-0.2","","1.7","-6.4","0.4","7996"
"Daniel Murphy","Rockies","130","549","501","144","34","2","20","70","77","39","84","3","2","1","",".288",".341",".485",".826",".345","","98","-0.8","-0.9","","-2.6","-11.7","0.3","4316"
"Jake Bauers","Indians","49","200","173","42","10","0","7","24","24","23","49","2","4","2","",".242",".333",".415",".748",".321","","95","0.4","0.0","","-0.8","-2.9","0.3","15194"
"Ryan Zimmerman","Nationals","66","274","247","65","14","1","12","34","41","22","58","2","1","0","",".263",".326",".474",".800",".335","","103","-0.1","-0.9","","1.0","-6.9","0.3","4220"
"Eric Thames","Nationals","105","438","378","89","19","2","19","55","57","48","133","6","4","2","",".237",".330",".447",".778",".327","","98","0.2","-1.7","","-1.0","-10.5","0.3","3711"
"Wil Myers","Padres","83","354","311","71","16","1","14","41","42","36","110","2","10","4","",".229",".311",".416",".726",".309","","91","0.8","-0.6","","-3.4","-5.5","0.3","10047"
"Jose Osuna","Pirates","74","300","274","73","18","1","9","33","37","19","57","2","2","1","",".265",".317",".440",".757",".319","","97","-0.3","-2.0","","-1.6","-5.9","0.2","12937"
"Ryan O'Hearn","Royals","107","439","388","91","19","2","18","51","56","43","117","3","1","1","",".235",".314",".435",".748",".316","","94","-0.4","-0.5","","-4.0","-9.5","0.2","16442"
"Nathaniel Lowe","Rays","13","54","47","12","2","0","2","7","7","6","12","0","0","0","",".262",".343",".457",".801",".338","","114","0.1","0.0","","1.0","-1.2","0.2","19566"
"Matt Beaty","Dodgers","38","155","141","39","8","0","5","18","20","10","22","2","2","1","",".274",".326",".441",".767",".323","","102","0.0","-0.6","","0.3","-3.6","0.2","17710"
"Ronald Guzman","Rangers","94","371","327","80","16","1","13","43","45","35","96","4","2","1","",".246",".325",".424",".748",".318","","88","-0.3","2.3","","-6.1","-5.5","0.2","14388"
"Greg Bird","","19","80","69","16","3","0","4","10","11","9","20","1","0","0","",".234",".325",".448",".773",".326","","94","0.0","0.3","","-0.7","-1.3","0.1","14131"
"Ryan McBroom","Royals","45","186","169","43","9","0","6","20","21","13","49","2","1","0","",".254",".315",".408",".723",".307","","88","0.0","0.1","","-2.9","-3.1","0.1","16524"
"Kevin Cron","Diamondbacks","8","33","29","7","1","0","2","4","5","3","9","0","0","0","",".247",".316",".480",".796",".331","","102","0.0","-0.1","","0.1","-0.7","0.0","16211"
"Jared Walsh","Angels","8","32","29","7","1","0","1","4","4","3","10","0","0","0","",".236",".304",".428",".732",".308","","93","0.0","0.1","","-0.3","-0.6","0.0","18607"
