"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Yasmani Grandal","White Sox","128","544","452","108","20","2","25","74","73","82","130","4","3","1","",".239",".358",".459",".817",".347","","119","-3.1","0.3","","10.1","7.7","5.0","11368"
"J.T. Realmuto","Phillies","130","557","504","136","29","2","24","71","77","39","116","7","6","2","",".270",".329",".478",".806",".337","","106","1.6","4.9","","6.2","15.2","4.3","11739"
"Buster Posey","Giants","117","508","451","124","26","1","11","55","55","47","74","6","2","1","",".274",".347",".410",".756",".324","","102","-2.2","5.7","","-0.7","13.0","3.6","9166"
"Christian Vazquez","Red Sox","107","426","391","103","21","1","13","49","52","26","80","3","5","2","",".263",".311",".418",".729",".308","","86","-1.3","2.9","","-9.2","10.9","2.7","9774"
"Gary Sanchez","Yankees","107","459","404","98","17","1","31","66","78","44","118","7","1","1","",".242",".324",".516",".840",".347","","117","-0.4","-2.9","","9.4","5.1","2.6","11442"
"Roberto Perez","Indians","90","356","312","68","13","1","14","40","43","36","105","3","1","0","",".219",".303",".399",".703",".300","","81","-0.9","3.7","","-9.5","11.3","2.2","2900"
"Danny Jansen","Blue Jays","75","295","260","65","14","1","11","35","36","26","53","5","2","1","",".249",".326",".431",".757",".321","","100","0.2","0.6","","0.0","6.9","2.2","16535"
"Carson Kelly","Diamondbacks","99","390","336","84","18","1","14","43","46","44","75","4","1","0","",".249",".340",".428",".768",".322","","96","-0.3","0.8","","-2.1","9.1","2.0","13620"
"Yadier Molina","Cardinals","102","428","394","104","21","1","12","44","50","24","65","5","4","2","",".263",".311",".410",".721",".306","","90","-2.7","3.9","","-8.4","12.4","1.9","7007"
"Mitch Garver","Twins","90","378","332","84","18","1","16","51","52","37","91","3","1","0","",".254",".333",".464",".798",".336","","108","-0.3","-2.7","","3.7","4.9","1.9","15161"
"Jason Castro","Angels","90","354","307","67","15","1","12","40","40","38","110","4","1","1","",".219",".311",".386",".697",".301","","88","-0.9","1.2","","-6.4","8.7","1.9","8722"
"Mike Zunino","Rays","99","389","348","71","14","1","17","42","47","31","134","5","1","1","",".204",".276",".395",".671",".285","","78","-0.4","2.2","","-11.4","10.5","1.9","13265"
"Will Smith","Dodgers","98","397","351","79","15","1","20","47","55","35","100","6","3","1","",".225",".304",".440",".744",".313","","95","0.0","0.7","","-2.6","8.9","1.9","19197"
"Sean Murphy","Athletics","90","358","322","81","17","1","14","44","46","27","76","4","2","1","",".250",".313",".441",".753",".317","","100","0.3","0.0","","0.3","7.5","1.8","19352"
"Jacob Stallings","Pirates","80","316","287","75","16","1","7","30","33","20","61","4","1","1","",".262",".316",".393",".710",".300","","84","0.0","0.2","","-6.6","6.9","1.6","13723"
"Travis d'Arnaud","Braves","85","352","319","82","17","1","13","41","46","26","71","3","1","1","",".257",".316",".441",".756",".319","","94","-0.4","-0.6","","-3.3","5.9","1.6","7739"
"Wilson Ramos","Mets","99","412","373","102","18","1","15","47","55","32","65","2","1","0","",".274",".332",".447",".779",".327","","106","-3.1","-1.2","","0.0","7.1","1.5","1433"
"Tyler Flowers","Braves","62","248","215","50","9","1","8","26","28","23","73","6","1","0","",".232",".322",".391",".713",".306","","85","-0.6","-2.1","","-5.4","3.1","1.5","9134"
"Tom Murphy","Mariners","117","472","433","94","20","2","20","49","57","29","161","4","3","1","",".217",".271",".407",".678",".284","","78","0.3","0.7","","-12.8","7.2","1.5","13499"
