"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","119","69","148","4","3","1","",".301",".378",".576",".954",".390","","142","-3.1","-0.4","","31.5","-17.5","3.6","6184"
"Yordan Alvarez","Astros","138","582","502","138","27","1","37","90","103","70","142","4","3","1","",".276",".366",".556",".922",".377","","140","-0.2","0.0","","29.7","-16.1","3.3","19556"
"Nelson Cruz","Twins","144","627","549","155","27","1","39","95","111","63","154","10","1","1","",".282",".363",".547",".910",".374","","134","-3.4","0.0","","24.1","-16.8","2.9","2434"
"Shohei Ohtani","Angels","128","548","486","136","25","4","28","79","88","52","141","4","12","5","",".280",".353",".524",".877",".364","","130","0.6","0.0","","21.9","-14.9","2.6","19755"
"Jorge Soler","Royals","150","641","554","143","30","1","35","87","96","72","172","8","4","2","",".257",".349",".503",".852",".356","","121","-0.5","-0.9","","16.5","-16.8","2.2","14221"
"Edwin Encarnacion","White Sox","130","558","477","117","19","1","33","78","88","69","128","7","1","1","",".246",".346",".497",".843",".352","","122","-2.6","-0.2","","13.4","-14.6","1.8","2151"
"Nick Solak","Rangers","109","458","407","109","18","2","17","55","60","40","100","6","6","2","",".268",".339",".444",".783",".332","","98","0.1","-0.9","","-1.2","0.2","1.5","19294"
"Khris Davis","Athletics","147","628","557","135","24","1","38","85","102","59","175","7","1","0","",".243",".321",".497",".818",".339","","115","-1.9","-0.2","","9.8","-17.2","1.4","9112"
"Ji-Man Choi","Rays","107","457","391","97","20","2","18","57","58","57","113","5","3","1","",".247",".347",".442",".788",".335","","112","0.0","-0.3","","7.1","-9.5","1.3","5452"
"Daniel Vogelbach","Mariners","91","380","317","74","13","0","17","46","48","56","94","2","1","0","",".232",".348",".434",".783",".335","","112","-0.3","0.1","","5.6","-10.2","0.9","14130"
"Shin-Soo Choo","Rangers","146","665","564","144","27","2","23","92","70","79","165","11","10","3","",".255",".356",".431",".787",".337","","101","-0.3","-2.5","","0.7","-16.5","0.8","3174"
"Miguel Cabrera","Tigers","138","603","536","149","28","1","20","72","77","58","124","4","1","0","",".277",".350",".444",".794",".336","","108","-4.6","0.0","","1.7","-15.9","0.7","1744"
"Mike Ford","Yankees","42","170","148","38","7","0","9","23","25","18","33","2","1","0","",".255",".340",".486",".826",".345","","116","0.1","-0.3","","3.5","-3.9","0.5","15585"
"Robbie Grossman","Athletics","45","190","162","41","9","1","4","23","19","25","35","1","2","1","",".254",".353",".386",".740",".322","","103","-0.1","-0.9","","0.7","-3.2","0.4","5254"
