"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Trout","Angels","150","675","528","157","29","3","44","124","112","126","136","12","14","5","",".297",".439",".611","1.050",".427","","173","3.1","-1.7","","66.1","0.6","8.8","10155"
"Cody Bellinger","Dodgers","150","640","544","156","30","3","42","100","116","86","117","4","12","5","",".287",".385",".584",".969",".392","","147","1.2","0.9","","40.7","0.0","6.0","15998"
"Mookie Betts","Dodgers","150","688","589","165","38","3","31","111","87","82","101","6","17","5","",".280",".371",".516",".886",".368","","131","4.5","12.6","","33.1","5.3","5.9","13611"
"Christian Yelich","Brewers","150","672","570","174","35","4","36","112","100","86","137","7","22","7","",".305",".400",".568",".968",".397","","145","3.3","0.5","","43.3","-6.6","5.7","11477"
"Aaron Judge","Yankees","149","666","550","140","24","1","41","106","101","101","205","6","6","3","",".254",".373",".525",".898",".373","","134","0.5","8.1","","29.7","0.6","5.2","15640"
"George Springer","Astros","149","687","589","161","28","2","35","112","91","79","137","8","8","3","",".274",".365",".510",".874",".367","","133","0.7","-1.7","","30.0","-0.6","5.2","12856"
"Juan Soto","Nationals","150","646","534","156","30","4","34","97","106","102","122","4","9","4","",".292",".406",".555",".962",".399","","145","0.1","-1.9","","38.6","-9.4","4.9","20123"
"Kris Bryant","Cubs","150","669","565","154","35","2","31","100","91","81","150","15","4","2","",".273",".377",".508",".884",".371","","129","2.8","-2.2","","28.6","-0.8","4.8","15429"
"Ronald Acuna Jr.","Braves","150","680","593","168","29","3","37","107","94","70","166","7","29","11","",".282",".363",".527",".890",".370","","127","2.9","0.1","","27.3","-3.5","4.4","18401"
"Bryce Harper","Phillies","150","664","544","141","29","1","41","102","102","107","165","5","11","4","",".259",".383",".541",".924",".380","","134","0.3","0.0","","30.4","-7.5","4.3","11579"
"Giancarlo Stanton","Yankees","136","598","519","139","24","1","47","98","112","66","176","7","3","1","",".268",".355",".590",".944",".385","","143","-0.4","0.8","","32.2","-11.0","4.1","4949"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","119","69","148","4","3","1","",".301",".378",".576",".954",".390","","142","-3.1","-0.4","","31.5","-17.5","3.6","6184"
"Max Kepler","Twins","144","626","546","142","33","1","30","91","87","65","107","7","6","3","",".260",".343",".490",".834",".349","","117","1.3","6.0","","15.2","-0.5","3.6","12144"
"Jeff McNeil","Mets","147","660","594","171","36","3","20","88","73","42","88","15","9","4","",".288",".348",".462",".810",".342","","115","1.0","-0.3","","14.4","0.7","3.5","15362"
"Tommy Pham","Padres","146","652","557","151","28","3","25","91","76","79","141","7","18","7","",".271",".366",".466",".832",".353","","120","1.4","1.9","","18.3","-5.4","3.3","2967"
"Joey Gallo","Rangers","149","616","513","118","22","2","43","90","101","90","216","6","8","3","",".230",".349",".533",".882",".363","","118","2.3","3.1","","16.8","-5.1","3.2","14128"
"Byron Buxton","Twins","136","529","481","126","31","4","19","71","71","36","134","5","23","6","",".262",".317",".461",".779",".326","","101","4.1","6.2","","5.0","8.5","3.1","14161"
"Ramon Laureano","Athletics","141","571","513","135","30","1","22","72","75","43","143","8","14","5","",".264",".327",".457",".785",".331","","109","2.2","0.8","","8.9","2.9","3.1","17128"
"Michael Conforto","Mets","139","603","509","128","27","1","31","82","85","79","143","8","5","2","",".251",".358",".489",".847",".354","","124","0.9","-0.6","","19.7","-7.2","3.1","16376"
"Kyle Schwarber","Cubs","138","585","498","126","22","2","37","86","90","75","155","5","5","2","",".253",".354",".528",".881",".362","","123","0.4","1.4","","18.4","-5.5","3.1","16478"
"Rhys Hoskins","Phillies","150","656","543","131","27","3","36","93","96","99","153","9","4","2","",".242",".365",".499",".864",".362","","122","0.3","2.2","","19.7","-10.3","3.0","16472"
"Starling Marte","Diamondbacks","149","664","607","173","33","7","24","89","85","36","123","13","26","9","",".284",".335",".480",".815",".341","","109","1.6","-3.4","","9.3","-0.9","2.9","9241"
"Luis Robert","White Sox","139","565","521","142","25","5","25","75","81","29","143","8","23","9","",".273",".318",".488",".806",".335","","111","0.9","0.0","","8.8","0.8","2.9","sa3003396"
"Alex Verdugo","Red Sox","125","516","464","142","33","3","14","69","67","42","70","4","6","3","",".307",".366",".478",".844",".356","","118","0.4","3.7","","12.5","-2.5","2.7","17027"
"Joc Pederson","Dodgers","100","438","378","97","19","2","27","67","66","46","92","7","3","1","",".255",".345",".536",".881",".364","","128","0.7","1.8","","17.0","-3.2","2.7","11899"
"Eloy Jimenez","White Sox","141","590","542","151","26","2","33","80","95","37","134","5","1","1","",".279",".329",".520",".848",".351","","122","0.8","-2.5","","17.1","-10.0","2.7","17484"
"Brian Anderson","Marlins","150","655","576","149","33","2","21","76","76","59","139","12","5","2","",".259",".339",".432",".771",".328","","105","0.1","0.3","","4.8","1.9","2.7","18289"
"Austin Meadows","Rays","138","610","546","148","29","5","27","84","82","50","124","6","14","6","",".272",".337",".492",".830",".344","","118","0.6","-2.2","","14.9","-9.0","2.7","15672"
"Lorenzo Cain","Brewers","141","634","561","155","29","1","15","82","63","57","109","7","19","6","",".277",".349",".415",".763",".328","","100","1.5","3.3","","1.3","5.6","2.7","9077"
"Michael Brantley","Astros","141","621","560","162","34","2","21","85","87","49","72","6","5","2","",".289",".349",".466",".816",".344","","118","0.1","-1.5","","14.3","-9.4","2.6","4106"
"Marcell Ozuna","Braves","147","634","569","157","28","2","31","82","99","57","131","3","7","3","",".275",".342",".494",".836",".349","","113","0.2","1.9","","11.5","-5.5","2.6","10324"
"Andrew Benintendi","Red Sox","149","661","578","158","39","4","19","92","79","68","129","6","13","5","",".273",".353",".452",".805",".341","","108","1.3","1.5","","8.4","-5.6","2.5","17901"
"Mark Canha","Athletics","141","587","507","127","26","3","25","76","79","60","137","14","4","2","",".251",".342",".460",".803",".339","","115","-0.2","-0.9","","10.9","-7.1","2.4","11445"
"Eddie Rosario","Twins","146","627","587","167","34","2","30","85","101","32","104","2","5","2","",".284",".320",".499",".819",".339","","110","2.1","-1.2","","10.4","-8.2","2.4","12155"
"Bryan Reynolds","Pirates","149","653","585","169","34","4","18","81","73","53","138","6","7","3","",".288",".351",".453",".804",".341","","111","0.5","-2.1","","9.9","-7.5","2.3","19326"
"Jorge Soler","Royals","150","641","554","143","30","1","35","87","96","72","172","8","4","2","",".257",".349",".503",".852",".356","","121","-0.5","-0.9","","16.5","-16.8","2.2","14221"
"Andrew McCutchen","Phillies","131","590","502","130","25","2","27","83","74","75","131","6","8","4","",".258",".359",".476",".835",".353","","117","-0.9","-2.3","","12.1","-8.9","2.2","9847"
