"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Francisco Lindor","Indians","150","692","616","178","39","2","35","112","95","60","99","6","22","7","",".289",".354",".531",".885",".365","","125","0.7","7.8","","22.4","15.3","6.0","12916"
"Carlos Correa","Astros","149","637","554","151","32","2","33","93","104","72","138","4","3","1","",".273",".359",".519",".878",".366","","133","0.9","-1.1","","27.4","5.8","5.4","14162"
"Xander Bogaerts","Red Sox","150","649","571","166","40","1","25","91","95","66","114","5","6","2","",".292",".368",".499",".866",".363","","123","1.5","-2.5","","20.9","5.0","4.7","12161"
"Manny Machado","Padres","150","664","591","161","29","3","37","93","102","63","119","4","7","3","",".272",".343",".518",".862",".356","","122","-0.6","4.7","","18.4","7.2","4.6","11493"
"Marcus Semien","Athletics","150","678","594","160","34","4","25","98","79","70","111","3","12","5","",".269",".347",".465",".812",".343","","117","1.4","-4.9","","16.3","2.6","4.2","12533"
"Trea Turner","Nationals","150","687","614","178","36","5","22","103","75","57","128","5","39","10","",".290",".354",".471",".825",".347","","111","5.1","-2.5","","15.4","5.0","4.1","16252"
"Ketel Marte","Diamondbacks","150","647","578","171","34","8","23","87","83","56","89","5","8","3","",".296",".360",".501",".861",".360","","121","1.0","-0.4","","18.9","2.3","4.1","13613"
"Corey Seager","Dodgers","141","607","539","150","37","1","23","82","81","55","110","5","2","1","",".278",".348",".479",".827",".347","","117","1.6","-0.1","","15.3","7.0","4.1","13624"
"Trevor Story","Rockies","150","652","582","162","36","4","36","97","101","57","173","6","20","8","",".279",".346",".541",".887",".366","","112","1.8","0.1","","11.9","7.6","3.9","12564"
"Fernando Tatis Jr.","Padres","149","667","594","157","25","7","30","92","81","55","179","7","23","9","",".265",".333",".484",".817",".341","","112","1.7","-2.8","","12.5","4.6","3.8","19709"
