"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Mike Trout","Angels","159","682","542","163","31","4","48","125","116","123","141","15","6",".301",".438",".635","1.073",".434","10155"
"Christian Yelich","Brewers","154","671","577","178","33","3","38","110","108","84","136","18","6",".309",".401",".575",".976",".402","11477"
"Juan Soto","Nationals","156","680","568","167","34","4","35","107","107","104","127","9","3",".295",".403",".551",".954",".395","20123"
"Cody Bellinger","Dodgers","152","673","577","167","35","4","43","111","117","86","129","14","4",".290",".383",".587",".969",".392","15998"
"Alex Bregman","Astros","152","664","557","161","35","3","35","108","100","92","85","7","2",".288",".394",".550",".944",".392","17678"
"Nolan Arenado","Rockies","157","683","605","182","37","3","43","103","123","66","100","3","1",".300",".368",".585",".953",".387","9777"
"J.D. Martinez","Red Sox","152","655","576","171","34","2","39","101","109","69","149","2","1",".298",".374",".566",".940",".385","6184"
"Freddie Freeman","Braves","156","678","582","173","37","3","32","101","103","82","126","9","3",".297",".389",".536",".924",".382","5361"
"Bryce Harper","Phillies","154","668","552","147","30","2","37","101","103","105","161","11","4",".266",".386",".528",".914",".378","11579"
"Mookie Betts","Dodgers","154","680","588","173","38","4","30","108","96","82","90","19","5",".294",".382",".524",".907",".377","13611"
"Aaron Judge","Yankees","149","642","537","140","25","2","38","101","95","94","198","5","2",".260",".376",".525",".901",".375","15640"
"Trevor Story","Rockies","154","669","600","170","40","6","37","108","105","57","176","21","5",".283",".350",".553",".903",".372","12564"
"Yordan Alvarez","Astros","138","600","519","145","30","2","34","90","99","72","151","3","1",".279",".368",".540",".908",".372","19556"
"Ronald Acuna Jr.","Braves","154","671","591","169","31","4","35","110","98","67","166","31","7",".286",".364",".530",".894",".371","18401"
"Anthony Rendon","Angels","154","661","571","163","36","2","30","94","93","75","95","3","1",".286",".373",".517",".889",".370","12861"
"Charlie Blackmon","Rockies","143","619","557","166","31","6","28","93","92","48","108","9","3",".298",".361",".525",".886",".369","7859"
"Kris Bryant","Cubs","151","659","562","153","32","3","31","95","93","78","148","5","2",".273",".374",".504",".878",".369","15429"
"George Springer","Astros","149","649","561","154","25","2","34","102","96","75","134","6","3",".275",".368",".510",".878",".369","12856"
"Anthony Rizzo","Cubs","156","681","574","160","32","3","28","95","92","79","94","6","2",".279",".383",".490",".874",".368","3473"
"Giancarlo Stanton","Yankees","136","586","510","132","22","1","40","89","96","66","171","2","1",".259",".349",".542",".891",".367","4949"
"Eugenio Suarez","Reds","151","654","569","151","25","2","41","97","106","71","168","3","1",".265",".353",".534",".886",".366","12552"
"Justin Turner","Dodgers","139","616","537","156","33","2","25","88","87","59","94","2","1",".290",".373",".497",".870",".366","5235"
"Jose Altuve","Astros","152","664","595","182","33","3","26","102","90","55","97","16","5",".306",".369",".501",".870",".365","5417"
"Josh Donaldson","Twins","147","637","535","139","29","2","31","96","88","91","140","4","1",".259",".371",".495",".867",".365","5038"
"Joey Gallo","Rangers","149","631","531","121","24","2","48","96","109","89","229","6","2",".227",".343",".549",".892",".365","14128"
"Max Muncy","Dodgers","136","602","505","128","24","2","34","91","92","85","149","3","1",".253",".366",".506",".871",".364","13301"
"Paul Goldschmidt","Cardinals","157","680","580","158","29","2","33","95","98","88","159","8","2",".272",".371",".497",".868",".363","9218"
"Jose Ramirez","Indians","152","656","577","161","37","4","32","99","96","68","81","23","6",".279",".357",".522",".879",".363","13510"
"Peter Alonso","Mets","154","665","580","148","28","1","43","95","108","65","173","2","1",".255",".343",".530",".873",".360","19251"
"Xander Bogaerts","Red Sox","154","662","588","171","36","2","27","95","90","63","117","6","2",".290",".361",".497",".858",".359","12161"
"Nelson Cruz","Twins","144","623","555","149","28","1","38","90","102","53","149","1","0",".268",".339",".529",".869",".358","2434"
"Rafael Devers","Red Sox","149","641","583","168","41","3","30","93","94","50","119","7","3",".288",".346",".520",".865",".357","17350"
"Joc Pederson","Dodgers","100","444","384","96","19","1","26","67","70","50","94","3","1",".250",".345",".513",".858",".356","11899"
"Josh Bell","Pirates","154","660","572","156","32","3","29","88","98","79","122","3","1",".273",".362",".494",".856",".356","13145"
"Jorge Soler","Royals","151","634","552","142","29","1","36","88","97","69","169","2","1",".257",".346",".509",".855",".356","14221"
"Vladimir Guerrero Jr.","Blue Jays","143","604","535","156","30","2","22","81","77","58","88","3","1",".292",".365",".481",".846",".355","19611"
