"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Alex Bregman","Astros","152","664","557","161","35","3","35","108","100","92","85","7","2",".288",".394",".550",".944",".392","17678"
"Nolan Arenado","Rockies","157","683","605","182","37","3","43","103","123","66","100","3","1",".300",".368",".585",".953",".387","9777"
"Anthony Rendon","Angels","154","661","571","163","36","2","30","94","93","75","95","3","1",".286",".373",".517",".889",".370","12861"
"Kris Bryant","Cubs","151","659","562","153","32","3","31","95","93","78","148","5","2",".273",".374",".504",".878",".369","15429"
"Eugenio Suarez","Reds","151","654","569","151","25","2","41","97","106","71","168","3","1",".265",".353",".534",".886",".366","12552"
"Justin Turner","Dodgers","139","616","537","156","33","2","25","88","87","59","94","2","1",".290",".373",".497",".870",".366","5235"
"Josh Donaldson","Twins","147","637","535","139","29","2","31","96","88","91","140","4","1",".259",".371",".495",".867",".365","5038"
"Jose Ramirez","Indians","152","656","577","161","37","4","32","99","96","68","81","23","6",".279",".357",".522",".879",".363","13510"
"Rafael Devers","Red Sox","149","641","583","168","41","3","30","93","94","50","119","7","3",".288",".346",".520",".865",".357","17350"
"Vladimir Guerrero Jr.","Blue Jays","143","604","535","156","30","2","22","81","77","58","88","3","1",".292",".365",".481",".846",".355","19611"
"Manny Machado","Padres","157","680","606","166","30","2","36","89","106","64","112","8","2",".274",".344",".506",".849",".351","11493"
"Nicholas Castellanos","Reds","139","605","551","155","38","4","26","82","86","44","136","3","1",".281",".337",".503",".840",".349","11737"
"Matt Chapman","Athletics","156","661","579","142","33","4","34","91","89","69","158","2","1",".246",".333",".492",".825",".344","16505"
"Miguel Sano","Twins","139","602","521","122","25","1","36","87","95","72","213","1","0",".235",".331",".495",".826",".344","12164"
"Mike Moustakas","Reds","146","633","568","146","28","1","37","84","98","54","108","2","1",".258",".327",".506",".833",".344","4892"
"Yoan Moncada","White Sox","151","641","571","152","30","4","26","90","79","60","183","14","4",".266",".339",".471",".811",".340","17232"
"Matt Carpenter","Cardinals","123","532","447","105","25","2","21","66","68","75","131","3","1",".235",".349",".439",".788",".335","8090"
"Eduardo Escobar","Diamondbacks","152","658","598","160","35","6","28","85","93","49","122","4","1",".268",".324",".483",".808",".335","6153"
"Jung Ho Kang","","11","49","44","11","2","0","3","6","7","4","14","0","0",".243",".322",".469",".791",".332","17182"
"Miguel Andujar","Yankees","110","475","440","121","26","2","20","61","63","26","80","2","1",".275",".319",".476",".796",".331","15878"
"Asdrubal Cabrera","Nationals","86","303","271","70","15","1","11","37","42","26","61","1","0",".258",".326",".447",".773",".325","4962"
"Yandy Diaz","Rays","125","531","464","124","21","2","12","64","53","59","100","3","1",".268",".352",".403",".754",".325","16578"
"J.D. Davis","Mets","118","511","462","120","24","1","21","63","66","41","123","2","1",".259",".324",".448",".772",".325","16219"
"Jake Lamb","Diamondbacks","73","235","203","48","10","2","9","30","29","28","59","2","1",".236",".332",".431",".763",".323","13329"
"Hunter Dozier","Royals","149","627","564","141","34","4","23","77","79","55","167","4","1",".250",".318",".447",".765",".321","15117"
"Brian Anderson","Marlins","154","655","582","149","31","2","20","74","77","56","139","4","1",".257",".332",".421",".753",".321","18289"
"Nick Solak","Rangers","109","459","411","106","18","2","15","56","50","38","108","5","2",".258",".328",".422",".750",".320","19294"
"Wilmer Flores","Giants","105","350","322","88","17","1","11","38","45","21","41","1","0",".274",".323",".433",".756",".319","5827"
"Travis Shaw","Blue Jays","107","453","394","89","18","1","21","55","58","52","115","3","1",".226",".320",".435",".755",".318","11982"
"Renato Nunez","Orioles","143","594","538","130","25","1","29","71","77","44","149","1","0",".241",".306",".452",".757",".317","14503"
"Ty France","Padres","37","81","73","18","4","0","3","9","10","5","16","0","0",".253",".323",".418",".740",".315","17982"
"Todd Frazier","Rangers","122","514","453","105","20","1","22","61","61","49","111","5","2",".231",".315",".426",".741",".315","785"
"Tommy La Stella","Angels","102","438","394","103","18","1","13","51","51","35","57","0","0",".261",".325",".413",".738",".314","12371"
"Evan Longoria","Giants","125","532","483","122","25","2","18","60","68","38","109","3","1",".253",".311",".426",".737",".310","9368"
"Kyle Seager","Mariners","141","588","526","124","26","2","24","62","75","51","118","3","1",".237",".309",".428",".737",".310","9785"
"Michael Brosseau","Rays","21","90","81","20","5","0","3","10","10","6","20","1","0",".252",".314",".416",".730",".310","19683"
"Abraham Toro","Astros","16","71","63","15","4","0","2","9","8","6","15","1","0",".243",".317",".412",".728",".309","19844"
"Tommy Edman","Cardinals","117","484","443","117","24","5","10","59","48","31","86","13","3",".265",".317",".408",".725",".308","19470"
"Johan Camargo","Braves","100","397","363","93","19","1","12","46","48","28","77","1","0",".257",".313",".417",".730",".308","14950"
"Ryon Healy","Brewers","8","35","33","8","2","0","1","4","5","2","8","0","0",".249",".297",".437",".734",".308","15447"
"Jeimer Candelario","Tigers","104","436","384","89","21","2","13","50","47","43","106","2","1",".231",".315",".402",".718",".307","13621"
"Matt Duffy","Rangers","32","137","123","33","6","0","2","15","12","11","22","1","1",".270",".335",".365",".701",".305","13836"
"David Bote","Cubs","78","239","212","50","11","1","7","28","27","22","63","2","1",".237",".317",".396",".713",".304","14593"
"Colin Moran","Pirates","118","507","461","118","24","1","13","53","61","38","110","1","0",".257",".317",".401",".718",".304","16909"
"Daniel Robertson","Rays","41","172","150","36","7","1","3","19","16","17","40","1","1",".239",".331",".363",".694",".304","14145"
"Christian Arroyo","Indians","26","112","102","26","6","0","3","13","13","7","24","1","0",".257",".313",".403",".715",".304","16434"
"Greg Garcia","Padres","65","180","155","38","7","1","2","19","14","21","37","1","0",".246",".343",".342",".685",".303","10951"
"Pablo Sandoval","Giants","23","57","52","13","2","0","2","6","7","4","12","0","0",".244",".302",".415",".718",".302","5409"
"Jedd Gyorko","Brewers","76","271","242","55","10","0","10","30","34","25","63","1","0",".228",".304",".402",".706",".301","10816"
"Giovanny Urshela","Yankees","136","586","544","139","27","2","18","65","67","32","105","1","0",".255",".300",".408",".708",".299","10681"
"Maikel Franco","Royals","120","504","461","114","23","1","18","51","65","37","68","0","0",".247",".304",".420",".723",".299","12179"
"David Fletcher","Angels","118","508","465","126","25","2","6","58","46","34","54","7","2",".271",".324",".369",".693",".299","17992"
"Alex Blandino","Reds","5","21","18","4","1","0","0","2","2","2","6","0","0",".226",".321",".362",".683",".299","16271"
"Taylor Ward","Angels","3","14","12","3","1","0","0","2","1","1","4","0","0",".230",".313",".376",".689",".297","17548"
"Cheslor Cuthbert","","5","21","19","5","1","0","1","2","2","1","4","0","0",".242",".297",".393",".691",".293","10473"
"Yangervis Solarte","","3","14","13","3","1","0","0","2","2","1","2","0","0",".242",".300",".387",".687",".292","5352"
"Brandon Drury","Blue Jays","83","350","320","74","17","1","11","37","38","25","86","1","0",".232",".293",".388",".681",".290","11615"
"Hanser Alberto","Orioles","139","581","548","147","24","2","11","59","56","20","61","4","2",".269",".298",".379",".677",".288","11902"
"Kyle Farmer","Reds","13","52","48","11","3","0","1","6","6","3","12","0","0",".236",".288",".390",".679",".288","14813"
"Rio Ruiz","Orioles","96","398","359","83","17","1","10","41","39","35","91","1","0",".230",".299",".371",".670",".287","14103"
"Matt Thaiss","Angels","13","56","50","11","2","0","2","6","6","5","13","0","0",".223",".296",".370",".666",".286","19318"
"Matt Reynolds","Royals","18","75","67","16","4","0","1","8","6","6","19","1","0",".233",".305",".347",".652",".283","13788"
"Edwin Rios","Dodgers","16","31","28","6","1","0","1","3","4","2","11","0","0",".216",".278",".393",".671",".283","18316"
"Dawel Lugo","Tigers","49","204","193","50","9","1","3","20","20","8","35","1","1",".258",".290",".372",".663",".281","14713"
"Luis Guillorme","Mets","21","79","70","17","3","0","1","8","6","7","14","1","0",".244",".315",".324",".639",".281","16451"
"Kevin Kramer","Pirates","24","84","76","17","4","0","2","9","9","6","24","1","0",".226",".294",".359",".652",".281","17689"
"Yolmer Sanchez","Giants","29","124","112","27","5","1","1","13","9","9","26","2","1",".242",".303",".340",".643",".279","11602"
"Isiah Kiner-Falefa","Rangers","8","33","30","7","1","0","0","3","3","2","6","0","0",".243",".304",".335",".639",".278","16512"
"Yu-Cheng Chang","Indians","16","70","63","13","3","0","2","7","7","6","21","1","0",".215",".285",".360",".646",".277","14773"
"Kelvin Gutierrez","Royals","6","27","25","6","1","0","0","3","2","2","7","0","0",".240",".292",".348",".640",".276","17468"
"Eduardo Nunez","","5","21","20","5","1","0","0","2","2","1","3","0","0",".248",".280",".356",".636",".271","6848"
"Andrew Velazquez","Orioles","31","128","118","26","5","1","3","14","10","8","39","3","1",".222",".273",".346",".619",".265","14196"
"Adrian Sanchez","Nationals","3","14","13","3","1","0","0","1","1","1","3","0","0",".237",".279",".337",".616",".263","11338"
"Patrick Wisdom","Mariners","15","61","55","11","2","0","2","6","7","5","22","1","0",".191",".260",".356",".615",".262","13602"
