"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Gary Sanchez","Yankees","115","455","401","99","17","0","29","64","71","43","117","1","0",".246",".328",".510",".838",".347","11442"
"Yasmani Grandal","White Sox","136","536","452","108","19","1","27","74","72","76","125","2","1",".240",".351",".467",".819",".346","11368"
"Mitch Garver","Twins","97","384","338","86","19","1","19","54","55","39","93","0","0",".254",".336",".487",".823",".345","15161"
"J.T. Realmuto","Phillies","139","554","503","139","28","3","24","75","77","39","111","7","2",".276",".334",".484",".818",".342","11739"
"Willson Contreras","Cubs","105","421","371","97","19","2","17","56","54","40","100","3","1",".261",".342",".458",".800",".338","11609"
"Omar Narvaez","Brewers","91","361","316","84","12","1","12","43","44","38","65","0","0",".267",".348",".426",".774",".331","13338"
"Salvador Perez","Royals","136","533","496","128","25","2","28","63","82","24","105","1","0",".258",".300",".486",".786",".325","7304"
"Kurt Suzuki","Nationals","78","311","282","74","14","0","13","37","45","19","40","1","0",".262",".320",".452",".772",".324","8259"
"Stephen Vogt","Diamondbacks","86","274","247","62","14","2","10","33","35","22","55","2","1",".251",".314",".444",".757",".317","5000"
"Robinson Chirinos","Rangers","92","357","308","68","14","1","16","43","42","37","105","1","0",".220",".320",".421",".742",".317","3142"
"Alex Avila","Twins","55","218","181","39","7","0","8","28","26","34","75","0","0",".213",".341",".395",".735",".316","7476"
"Travis d'Arnaud","Braves","91","363","330","83","16","1","14","44","47","28","73","1","0",".253",".315",".434",".748",".316","7739"
"Will Smith","Dodgers","105","426","376","86","18","1","20","55","58","39","113","3","1",".228",".311",".437",".748",".316","19197"
"Buster Posey","Giants","125","491","438","120","21","1","9","53","54","44","70","2","1",".274",".343",".389",".732",".315","9166"
"Carson Kelly","Diamondbacks","107","422","371","90","19","1","15","48","54","43","86","0","0",".242",".325",".419",".745",".313","13620"
"Tyler Flowers","Braves","66","264","231","54","9","1","9","32","32","24","80","0","0",".232",".324",".398",".722",".311","9134"
"Russell Martin","","29","115","98","22","4","0","4","14","12","14","29","1","0",".223",".332",".376",".708",".309","4616"
"Wilson Ramos","Mets","107","422","385","102","14","0","13","47","50","31","66","1","0",".266",".322",".406",".728",".309","1433"
"Danny Jansen","Blue Jays","81","314","278","65","15","1","11","36","35","27","62","1","1",".234",".314",".410",".724",".308","16535"
"Chris Iannetta","Yankees","13","51","44","10","2","0","2","6","6","6","14","0","0",".221",".317",".404",".722",".308","8267"
"Daulton Varsho","Diamondbacks","3","13","12","3","1","0","0","2","1","1","2","0","0",".250",".311",".414",".726",".307","sa3002838"
"Francisco Cervelli","Marlins","83","295","257","62","10","1","7","32","28","29","72","2","1",".241",".331",".371",".702",".306","5275"
"Victor Caratini","Cubs","73","259","231","58","12","1","6","29","28","23","55","0","0",".251",".324",".386",".710",".305","14968"
"Willians Astudillo","Twins","15","59","55","15","3","0","1","7","7","2","3","0","0",".276",".312",".410",".722",".305","15608"
"Yan Gomes","Nationals","71","285","258","61","12","1","11","32","39","21","73","1","0",".238",".303",".419",".722",".304","9627"
"James McCann","White Sox","49","193","177","44","8","1","7","22","22","13","52","1","0",".247",".304",".410",".715",".303","12859"
"Francisco Mejia","Padres","99","390","358","90","20","2","11","42","47","23","80","2","1",".253",".306",".414",".719",".303","16403"
"Chance Sisco","Orioles","78","296","261","61","13","0","9","32","30","27","87","1","0",".234",".318",".384",".702",".303","15694"
"Welington Castillo","Nationals","10","38","35","8","1","0","2","4","5","2","11","0","0",".238",".294",".423",".717",".302","3256"
"Curt Casali","Reds","65","258","230","54","11","0","8","29","30","23","63","0","0",".234",".311",".392",".703",".301","12510"
"Christian Vazquez","Red Sox","115","454","416","107","20","1","12","53","51","29","86","4","2",".256",".308",".399",".706",".299","9774"
"Tucker Barnhart","Reds","89","354","309","74","14","1","9","39","36","37","73","1","1",".239",".323",".375",".699",".299","10200"
"Jonathan Lucroy","Red Sox","16","64","57","15","3","0","1","7","7","5","10","0","0",".254",".318",".377",".696",".299","7870"
"Yadier Molina","Cardinals","110","435","401","103","20","1","11","47","50","25","64","5","1",".258",".305",".396",".701",".298","7007"
"Elias Diaz","Rockies","16","64","59","16","3","0","1","7","7","4","11","0","0",".263",".312",".378",".690",".296","11680"
"Austin Barnes","Dodgers","53","216","190","44","9","1","5","26","22","21","49","2","1",".230",".317",".364",".681",".295","12158"
"Jason Castro","Angels","97","382","335","70","14","1","15","44","45","40","127","0","0",".209",".298",".387",".685",".294","8722"
"Manny Pina","Brewers","66","264","239","56","11","1","8","28","31","19","64","1","0",".234",".298",".391",".689",".293","2829"
"Roberto Perez","Indians","97","383","333","72","12","1","14","43","42","39","114","1","0",".216",".302",".379",".681",".293","2900"
"Jorge Alfaro","Marlins","113","441","406","98","18","2","14","46","51","22","148","4","1",".240",".294",".395",".689",".292","12180"
"Zack Collins","White Sox","11","47","40","8","2","0","2","5","5","6","16","0","0",".200",".307",".366",".673",".291","19181"
"Andrew Knizner","Cardinals","11","45","41","10","2","0","1","5","5","3","8","0","0",".249",".305",".372",".678",".290","19514"
"Tony Wolters","Rockies","97","386","340","84","16","3","3","41","34","35","68","1","1",".247",".326",".341",".667",".290","11470"
