"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Trevor Story","Rockies","154","669","600","170","40","6","37","108","105","57","176","21","5",".283",".350",".553",".903",".372","12564"
"Xander Bogaerts","Red Sox","154","662","588","171","36","2","27","95","90","63","117","6","2",".290",".361",".497",".858",".359","12161"
"Carlos Correa","Astros","149","649","571","155","31","2","32","95","95","69","147","3","1",".272",".352",".498",".850",".355","14162"
"Francisco Lindor","Indians","154","663","595","169","34","3","32","94","98","55","97","16","6",".283",".346",".510",".855",".353","12916"
"Ketel Marte","Diamondbacks","156","672","607","178","35","6","23","94","89","56","91","9","3",".293",".354",".488",".841",".352","13613"
"Manny Machado","Padres","157","680","606","166","30","2","36","89","106","64","112","8","2",".274",".344",".506",".849",".351","11493"
"Gleyber Torres","Yankees","152","656","589","162","29","2","34","92","93","56","147","7","3",".275",".341",".502",".842",".350","16997"
"Fernando Tatis Jr.","Padres","149","645","580","157","30","5","30","94","89","55","182","21","6",".271",".339",".497",".836",".348","19709"
"Corey Seager","Dodgers","141","623","559","157","38","2","23","84","87","55","114","1","1",".281",".348",".478",".826",".346","13624"
"Trea Turner","Nationals","152","666","605","172","32","6","21","100","79","52","129","39","8",".285",".344",".462",".806",".340","16252"
"Javier Baez","Cubs","154","673","624","171","33","4","34","95","100","36","177","16","5",".274",".318",".503",".821",".338","12979"
"Marcus Semien","Athletics","156","661","585","154","32","3","24","88","76","67","110","11","4",".262",".339",".453",".792",".335","12533"
"Bo Bichette","Blue Jays","146","618","564","157","38","3","19","84","70","45","134","17","5",".278",".334",".460",".794",".334","19612"
"Paul DeJong","Cardinals","154","666","597","152","33","2","31","84","95","52","156","6","2",".254",".323",".472",".794",".332","18015"
"Jorge Polanco","Twins","152","658","590","163","35","5","18","87","75","54","108","8","3",".277",".339",".447",".785",".332","13152"
"Asdrubal Cabrera","Nationals","86","303","271","70","15","1","11","37","42","26","61","1","0",".258",".326",".447",".773",".325","4962"
"Chris Taylor","Dodgers","87","284","255","66","15","2","9","39","33","25","75","5","2",".259",".329",".435",".765",".324","13757"
"Didi Gregorius","Phillies","141","611","561","146","26","3","25","75","82","38","88","7","2",".261",".312",".454",".765",".319","6012"
