"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Alex Bregman","Astros","154","672","560","161","39","3","34","110","110","98","89","9","10","3",".288",".399",".550",".949",".395","1.0","0.3","7.1","17678"
"Matt Chapman","Athletics","149","631","556","137","34","4","33","92","90","64","163","8","3","3",".246",".331",".500",".831",".346","15.0","-1.0","5.3","16505"
"Jose Ramirez","Indians","143","607","533","150","39","4","28","91","97","65","77","4","28","5",".281",".361",".527",".888",".367","4.0","3.1","5.0","13510"
"Nolan Arenado","Rockies","151","646","573","171","35","4","37","98","117","63","101","3","3","2",".298",".367",".567",".934",".380","9.0","-0.6","4.8","9777"
"Anthony Rendon","Angels","142","609","525","145","35","2","26","89","97","68","92","8","5","2",".276",".363",".499",".862",".358","5.0","-0.2","4.8","12861"
"Kris Bryant","Cubs","141","634","543","147","32","3","30","98","79","71","140","16","5","3",".271",".369",".506",".876",".367","-1.0","-0.7","4.2","15429"
"Josh Donaldson","Twins","125","539","449","113","23","1","26","75","79","83","126","5","4","2",".252",".373",".481",".854",".362","3.0","-0.4","4.0","5038"
"Rafael Devers","Red Sox","156","678","624","182","44","3","33","112","110","48","119","3","9","6",".292",".344",".530",".875",".360","-3.0","-1.1","3.9","17350"
"Yoan Moncada","White Sox","141","608","547","150","28","4","26","84","78","52","169","5","14","5",".274",".341",".483",".824",".345","3.0","0.3","3.9","17232"
"Manny Machado","Padres","156","677","608","164","31","2","33","85","100","61","122","3","7","3",".270",".337",".490",".827",".342","4.0","-0.2","3.9","11493"
"Eugenio Suarez","Reds","153","631","550","144","24","2","37","83","107","67","169","9","4","3",".262",".349",".515",".863",".358","1.0","-0.8","3.7","12552"
"Justin Turner","Dodgers","119","490","428","122","25","1","19","64","66","44","74","13","3","1",".285",".365",".481",".847",".357","1.0","-0.1","3.3","5235"
"Vladimir Guerrero Jr.","Blue Jays","136","571","513","146","30","2","25","70","93","49","89","4","2","2",".285",".349",".497",".846",".353","-5.0","-0.8","3.1","19611"
"Eduardo Escobar","Diamondbacks","150","621","566","153","32","7","26","77","100","44","117","4","4","2",".270",".324",".489",".813",".336","2.0","-0.4","2.8","6153"
"Miguel Sano","Twins","114","482","418","100","19","2","35","76","91","59","181","3","0","1",".239",".336",".545",".882",".363","2.0","-0.7","2.5","12164"
"Matt Carpenter","Cardinals","129","532","446","107","27","2","20","73","60","75","130","6","4","1",".240",".354",".444",".798",".338","-2.0","0.1","2.4","8090"
"Giovanny Urshela","Yankees","137","502","471","133","27","0","19","66","71","23","88","4","1","1",".282",".319",".461",".779",".326","3.0","-0.5","2.3","10681"
