"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Yordan Alvarez","Astros","131","568","495","142","30","1","35","85","107","66","139","2","4","2",".287",".370",".564",".933",".381","0.0","-0.4","3.5","19556"
"J.D. Martinez","Red Sox","137","597","528","154","32","2","33","87","100","61","141","3","3","1",".292",".365",".547",".913",".374","0.0","-0.1","2.8","6184"
"Nelson Cruz","Twins","114","484","426","116","19","0","32","63","96","46","116","9","0","1",".272",".353",".542",".896",".368","0.0","-0.7","2.2","2434"
"Jorge Soler","Royals","140","561","485","124","24","0","33","73","81","66","156","7","3","1",".256",".351",".509",".860",".359","0.0","-0.1","2.1","14221"
"Nick Solak","Rangers","146","605","542","149","25","3","20","82","79","50","130","8","7","2",".275",".343",".443",".786",".334","-4.0","0.2","1.8","19294"
"Shohei Ohtani","Angels","124","421","380","107","21","3","21","58","71","36","116","2","11","3",".282",".344",".518",".863",".357","0.0","0.7","1.8","19755"
"Nathaniel Lowe","Rays","136","559","492","127","24","1","22","71","64","61","129","4","1","1",".258",".343",".445",".789",".335","0.0","-0.5","1.7","19566"
"Daniel Vogelbach","Mariners","135","535","450","108","18","0","26","70","77","80","132","2","0","0",".240",".355",".453",".808",".344","0.0","-0.3","1.7","14130"
"Mike Ford","Yankees","122","491","432","111","22","0","25","69","75","51","92","5","0","1",".257",".340",".481",".822",".344","0.0","-0.7","1.6","15585"
"Edwin Encarnacion","White Sox","104","453","391","94","14","0","28","67","81","51","102","7","1","1",".240",".336",".491",".827",".345","0.0","-0.5","1.4","2151"
"Danny Mendick","White Sox","145","575","517","123","21","2","12","62","49","47","120","5","13","6",".238",".305",".356",".661",".287","8.0","-0.3","1.4","18889"
"Ji-Man Choi","Rays","119","446","380","94","20","1","16","48","56","56","104","4","3","2",".247",".345",".432",".777",".330","-2.0","-0.5","1.0","5452"
"Zack Collins","White Sox","111","461","388","77","16","2","15","53","52","66","167","2","1","0",".198",".315",".366",".681",".296","-6.0","0.0","0.9","19181"
"Khris Davis","Athletics","132","547","487","114","19","1","32","70","96","49","159","6","1","0",".234",".309",".474",".783",".325","0.0","0.0","0.9","9112"
"Shin-Soo Choo","Rangers","130","578","495","124","25","1","18","74","50","69","143","13","11","1",".251",".356",".414",".771",".333","0.0","1.4","0.6","3174"
"Rowdy Tellez","Blue Jays","135","521","471","115","26","0","23","62","72","39","132","6","2","2",".244",".307",".446",".753",".314","1.0","-0.7","0.6","15679"
"Rob Brantly","","83","287","264","64","11","1","5","29","23","17","47","4","0","1",".242",".296",".348",".645",".278","1.0","-0.6","0.4","10655"
"Robbie Grossman","Athletics","125","461","397","98","22","2","7","54","42","58","87","2","6","3",".247",".343",".365",".709",".310","-4.0","-0.4","0.4","5254"
"Bobby Bradley","Indians","128","527","479","106","24","2","25","60","71","42","179","3","1","1",".221",".287",".436",".723",".302","6.0","-0.4","0.2","17278"
"Renato Nunez","Orioles","144","573","519","125","25","1","29","69","85","42","143","7","1","1",".241",".304",".461",".764",".319","0.0","-0.5","0.2","14503"
"Rusney Castillo","Red Sox","112","463","439","119","25","1","8","50","44","18","71","4","7","6",".271",".305",".387",".692",".295","5.0","-1.4","0.1","17016"
"A.J. Reed","White Sox","103","441","390","81","16","1","21","53","59","44","149","3","0","0",".208",".290",".415",".706",".298","1.0","-0.2","0.0","16246"
"Matt Davidson","","119","484","437","102","22","0","26","57","76","36","153","8","1","0",".233",".302",".462",".764",".319","-2.0","0.0","0.0","7226"
"Kendrys Morales","","80","295","256","60","6","1","9","27","33","33","52","3","1","1",".234",".325",".371",".697",".301","0.0","-0.4","-0.3","8610"
"Hanley Ramirez","","91","379","339","80","14","0","16","42","53","35","86","4","3","2",".236",".314",".419",".733",".310","-3.0","-0.5","-0.3","8001"
"Mark Trumbo","","104","420","390","92","17","0","23","51","58","28","110","1","1","0",".236",".288",".456",".745",".311","-9.0","0.0","-0.4","6876"
"Matt Skole","","113","449","394","82","17","0","15","50","46","50","135","2","1","0",".208",".298",".365",".664",".286","1.0","0.0","-0.4","12119"
"Daniel Palka","White Sox","126","512","460","100","16","1","24","61","65","48","163","1","3","2",".217",".291",".413",".704",".296","-6.0","-0.5","-0.4","14897"
"Albert Pujols","Angels","112","468","431","105","18","0","16","44","72","30","60","2","2","0",".244",".293",".397",".689",".291","-2.0","0.2","-0.5","1177"
"Miguel Cabrera","Tigers","112","453","408","107","18","0","9","32","48","39","87","2","0","0",".262",".327",".373",".699",".300","0.0","-0.3","-0.5","1744"
"Dalton Pompey","","50","193","172","36","6","0","3","20","14","17","57","1","6","3",".209",".281",".297",".578",".255","1.0","-0.2","-0.5","12797"
