"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","137","600","472","139","26","3","40","107","102","112","125","12","17","3",".294",".438",".617","1.055",".427","0.0","1.7","7.9","10155"
"Mookie Betts","Dodgers","151","698","608","179","39","5","34","126","97","79","96","4","21","4",".294",".375",".543",".918",".379","0.0","2.1","6.1","13611"
"Juan Soto","Nationals","155","678","559","165","33","5","36","115","126","113","127","2","11","2",".295",".413",".565",".978",".405","-1.0","0.9","5.7","20123"
"Cody Bellinger","Dodgers","156","641","547","160","32","4","40","108","120","88","126","3","16","4",".293",".392",".585",".977",".396","6.0","1.1","5.6","15998"
"Christian Yelich","Brewers","142","627","539","163","34","4","34","99","106","77","130","7","24","3",".302",".394",".570",".964",".396","1.0","3.1","5.3","11477"
"Ronald Acuna Jr.","Braves","154","695","612","175","29","3","39","120","104","73","168","8","35","9",".286",".368",".534",".903",".376","4.0","2.7","4.9","18401"
"Aaron Judge","Yankees","120","522","435","113","19","1","33","84","82","79","166","5","5","3",".260",".377",".536",".913",".379","10.0","-0.6","4.6","15640"
"George Springer","Astros","130","585","509","139","23","2","31","98","91","66","120","7","6","4",".273",".362",".509",".871",".365","1.0","-0.9","4.6","12856"
"Kris Bryant","Cubs","141","634","543","147","32","3","30","98","79","71","140","16","5","3",".271",".369",".506",".876",".367","-1.0","-0.7","4.2","15429"
"Bryce Harper","Phillies","147","641","524","135","30","1","36","99","114","106","168","5","14","4",".258",".384",".525",".909",".374","-1.0","0.7","3.8","11579"
"Jeff McNeil","Mets","136","573","519","152","32","4","19","77","71","35","73","16","7","4",".293",".355",".480",".835",".352","2.0","-0.7","3.7","15362"
"Michael Conforto","Mets","149","607","516","132","27","1","31","83","96","78","148","9","6","3",".256",".361",".492",".853",".357","2.0","-0.4","3.4","16376"
"Kyle Tucker","Astros","147","608","548","145","29","3","26","92","95","50","133","5","27","5",".265",".329",".471",".800",".334","7.0","2.9","3.3","18345"
"Max Kepler","Twins","143","587","516","131","31","3","28","85","84","61","104","6","3","4",".254",".337",".488",".826",".345","9.0","-1.4","3.2","12144"
"Austin Meadows","Rays","137","561","506","136","30","5","25","73","80","46","120","5","14","6",".269",".334",".496",".830",".344","5.0","-0.1","3.1","15672"
"Ramon Laureano","Athletics","124","507","454","117","26","2","22","70","63","38","138","9","16","4",".258",".324",".469",".793",".333","3.0","1.2","3.0","17128"
"Giancarlo Stanton","Yankees","133","567","494","127","24","1","43","86","116","63","175","5","2","0",".257",".344",".571",".915",".371","0.0","0.1","2.9","4949"
"Victor Robles","Nationals","150","604","536","142","31","5","16","81","69","38","124","21","29","10",".265",".336",".431",".767",".326","9.0","1.1","2.9","18363"
"Marcell Ozuna","Braves","141","595","538","151","27","3","29","81","107","53","119","2","8","2",".281",".346",".504",".850",".355","3.0","0.4","2.9","10324"
"J.D. Martinez","Red Sox","137","597","528","154","32","2","33","87","100","61","141","3","3","1",".292",".365",".547",".913",".374","0.0","-0.1","2.8","6184"
"Tommy Pham","Padres","143","586","505","137","25","3","21","84","63","72","125","6","20","6",".271",".368",".457",".825",".351","1.0","1.0","2.8","2967"
"Whit Merrifield","Royals","156","690","637","183","39","6","14","88","64","42","116","5","24","9",".287",".334",".433",".767",".324","2.0","0.5","2.8","11281"
"Mitch Haniger","Mariners","114","493","430","109","24","2","22","68","66","50","125","9","6","2",".253",".341",".472",".813",".341","5.0","0.1","2.7","14274"
"Jo Adell","Angels","137","609","563","153","31","2","22","69","68","37","161","7","12","2",".272",".323",".451",".775",".327","7.0","1.2","2.7","sa3004837"
"Rhys Hoskins","Phillies","153","659","548","132","30","3","34","91","109","96","168","9","4","2",".241",".360",".493",".852",".357","1.0","-0.4","2.6","16472"
"Mike Tauchman","Yankees","125","466","414","109","22","4","14","61","57","44","96","3","11","5",".263",".335",".437",".773",".327","13.0","-0.2","2.5","15274"
"Joey Gallo","Rangers","117","445","367","82","17","2","36","76","76","71","171","6","6","2",".223",".358",".575",".933",".382","-3.0","0.1","2.5","14128"
"Luis Robert","White Sox","121","539","501","133","21","7","20","63","63","22","152","11","24","10",".265",".309",".455",".764",".320","4.0","0.2","2.5","sa3003396"
"Starling Marte","Diamondbacks","136","585","541","154","28","5","19","84","76","26","103","14","28","9",".285",".332",".460",".792",".333","0.0","1.4","2.5","9241"
"Joc Pederson","Dodgers","141","468","409","102","23","2","27","70","75","49","104","8","2","3",".249",".340",".513",".853",".354","2.0","-1.1","2.4","11899"
"Michael Brantley","Astros","134","573","520","152","30","2","15","74","72","43","60","5","6","2",".292",".349",".444",".793",".336","1.0","0.0","2.3","4106"
"Lorenzo Cain","Brewers","134","567","511","141","24","2","10","71","43","48","96","5","17","6",".276",".342",".389",".732",".316","9.0","0.4","2.3","9077"
"Brian Anderson","Marlins","140","586","517","135","30","3","17","70","68","51","128","14","5","2",".261",".341",".429",".771",".329","7.0","-0.2","2.3","18289"
"Adam Eaton","Nationals","133","573","501","143","25","6","11","82","49","52","95","12","13","3",".285",".365",".425",".790",".341","5.0","0.9","2.3","11205"
"Kevin Kiermaier","Rays","115","453","414","100","19","6","13","58","48","30","100","6","16","5",".242",".302",".411",".712",".301","11.0","0.8","2.2","11038"
"Eloy Jimenez","White Sox","134","560","519","146","25","3","33","75","92","34","125","4","0","0",".281",".329",".532",".860",".355","-8.0","-0.3","2.2","17484"
"Harrison Bader","Cardinals","141","487","429","102","18","3","17","65","53","43","144","11","13","5",".238",".321",".413",".734",".312","9.0","0.2","2.2","18030"
"Andrew Benintendi","Red Sox","148","645","568","153","38","5","16","83","79","64","126","5","14","4",".269",".345",".438",".784",".332","4.0","0.7","2.2","17901"
"Kyle Schwarber","Cubs","142","547","470","115","22","3","32","76","84","70","153","4","2","2",".245",".346",".509",".854",".352","-1.0","-0.7","2.2","16478"
"Jorge Soler","Royals","140","561","485","124","24","0","33","73","81","66","156","7","3","1",".256",".351",".509",".860",".359","0.0","-0.1","2.1","14221"
"Byron Buxton","Twins","107","393","357","88","21","4","13","54","49","27","110","4","17","2",".246",".305",".437",".742",".312","8.0","2.4","2.1","14161"
"Adam Frazier","Pirates","156","577","522","146","31","6","10","75","55","42","73","7","7","7",".280",".340",".420",".759",".323","3.0","-2.0","2.0","15223"
"Trent Grisham","Padres","143","585","500","120","21","7","20","75","66","76","125","4","10","5",".240",".342",".430",".772",".329","6.0","-0.5","2.0","18564"
"Chris Taylor","Dodgers","139","514","460","119","29","5","15","67","63","45","135","5","12","3",".259",".329",".441",".771",".325","-5.0","0.8","2.0","13757"
"Eddie Rosario","Twins","145","601","568","161","33","2","27","89","96","26","99","0","6","3",".283",".312",".491",".803",".331","2.0","-0.4","1.9","12155"
"Aaron Hicks","Yankees","101","396","339","82","16","1","17","57","59","51","90","1","5","3",".242",".339",".445",".785",".333","1.0","-0.5","1.9","5297"
"Trey Mancini","Orioles","153","644","582","159","30","3","31","83","92","51","149","7","1","0",".273",".337",".495",".832",".347","-8.0","-0.1","1.9","15149"
"Manuel Margot","Rays","142","513","470","117","22","6","12","60","50","36","104","2","20","6",".249",".303",".398",".701",".298","7.0","1.1","1.9","14712"
"Nicholas Castellanos","Reds","155","668","612","172","48","6","29","89","94","47","156","5","2","2",".281",".335",".521",".857",".354","-8.0","-0.8","1.9","11737"
"Brandon Nimmo","Mets","112","431","355","84","18","4","13","57","45","63","116","10","5","3",".237",".365",".420",".785",".339","-4.0","-0.6","1.8","12927"
"Mark Canha","Athletics","124","463","398","97","22","2","21","65","58","48","108","14","3","2",".244",".343",".467",".811",".342","-2.0","-0.5","1.8","11445"
"Ender Inciarte","Braves","131","548","495","136","23","5","9","72","47","44","76","4","17","8",".275",".337",".396",".733",".314","6.0","-0.4","1.8","4922"
"Hunter Renfroe","Rays","134","507","465","109","24","1","29","62","79","35","155","3","4","1",".234",".290",".477",".767",".316","6.0","0.2","1.8","15464"
"Yasiel Puig","","147","561","508","133","26","2","24","69","84","44","118","5","16","7",".262",".324",".463",".787",".330","4.0","-0.1","1.8","14225"
"Andrew McCutchen","Phillies","113","492","420","107","20","2","21","69","64","65","110","4","6","4",".255",".358",".462",".820",".347","0.0","-0.8","1.8","9847"
"Charlie Blackmon","Rockies","141","635","578","172","33","7","27","106","76","44","113","9","6","6",".298",".355",".519",".874",".363","-2.0","-1.7","1.7","7859"
"Brett Gardner","Yankees","126","531","469","116","20","5","16","76","54","52","101","5","12","3",".247",".327",".414",".741",".317","-2.0","0.8","1.7","9927"
"Austin Riley","Braves","128","517","473","119","26","2","29","72","87","35","150","6","0","2",".252",".309",".499",".808",".332","-2.0","-1.1","1.7","18360"
"Stephen Piscotty","Athletics","120","491","441","114","27","1","18","60","65","39","101","7","3","1",".259",".327",".447",".773",".327","1.0","-0.1","1.7","13367"
"Jackie Bradley Jr.","Red Sox","137","535","471","111","26","4","19","68","64","50","138","10","9","4",".236",".320",".429",".749",".317","2.0","-0.2","1.7","12984"
"Myles Straw","Astros","127","526","469","122","14","4","2","62","30","50","102","2","30","7",".260",".333",".320",".653",".290","6.0","2.6","1.6","17620"
"Alex Verdugo","Red Sox","129","476","432","123","25","2","13","55","54","37","63","2","7","2",".285",".341",".442",".783",".331","4.0","0.3","1.6","17027"
"Mallex Smith","Mariners","149","587","528","132","22","10","6","70","40","46","131","8","48","11",".250",".319",".364",".683",".297","-1.0","4.5","1.6","13608"
"Jordan Luplow","Indians","117","428","374","91","20","2","16","57","58","47","105","5","5","4",".243",".334",".436",".770",".327","7.0","-1.0","1.5","16424"
"David Peralta","Diamondbacks","118","489","445","122","25","3","16","59","61","37","96","5","2","1",".274",".335",".452",".787",".331","4.0","-0.3","1.5","2136"
"Kole Calhoun","Diamondbacks","140","581","511","127","27","3","23","80","76","61","134","5","4","2",".249",".332",".448",".780",".328","3.0","-0.4","1.5","11200"
"Danny Santana","Rangers","136","486","454","121","25","5","21","69","68","24","130","4","19","7",".267",".307",".482",".790",".327","-1.0","0.5","1.5","10322"
"Jason Heyward","Cubs","135","534","474","120","21","4","14","67","61","53","88","4","7","3",".253",".332",".403",".735",".315","9.0","-0.2","1.5","4940"
"Kevin Pillar","Red Sox","152","605","571","152","42","2","15","73","78","21","91","7","12","5",".266",".298",".426",".724",".303","5.0","0.0","1.5","12434"
"Ian Happ","Cubs","149","552","478","117","23","2","23","74","72","67","168","3","11","3",".245",".339",".446",".784",".331","-8.0","0.6","1.4","17919"
"Mike Yastrzemski","Giants","129","518","465","114","26","4","19","66","63","44","132","4","5","5",".245",".313",".441",".754",".316","7.0","-1.4","1.4","14854"
"Randal Grichuk","Blue Jays","147","572","530","127","32","4","30","73","84","34","158","6","3","2",".240",".292",".485",".777",".321","-7.0","-0.5","1.4","10243"
"Dylan Carlson","Cardinals","127","563","500","123","24","7","18","71","66","52","133","6","13","7",".246",".321",".430",".751",".317","-3.0","-0.7","1.4","sa917940"
"Austin Hays","Orioles","119","505","476","119","24","2","21","61","67","22","114","5","9","6",".250",".289",".441",".730",".306","4.0","-1.0","1.4","19363"
"A.J. Pollock","Dodgers","101","403","368","94","20","3","16","55","55","26","84","6","10","2",".255",".313",".457",".769",".322","-2.0","0.9","1.4","9256"
"Josh Rojas","Diamondbacks","137","584","523","137","31","5","15","70","62","54","112","3","23","10",".262",".332",".426",".759",".322","4.0","-0.1","1.3","19734"
"Justin Upton","Angels","114","472","415","97","19","1","25","63","76","50","145","4","5","2",".234",".320",".465",".785",".329","-2.0","-0.1","1.3","5222"
"Odubel Herrera","","126","505","460","120","24","3","16","59","60","37","113","5","9","4",".261",".321",".430",".752",".317","0.0","-0.2","1.3","11476"
"Bryan Reynolds","Pirates","134","568","513","136","29","5","14","73","65","46","131","5","4","3",".265",".329",".423",".752",".320","-4.0","-0.8","1.3","19326"
"Adam Duvall","Braves","140","534","482","113","26","3","26","67","92","39","138","8","3","2",".234",".300",".463",".762",".317","8.0","-0.5","1.3","10950"
"Avisail Garcia","Brewers","128","524","484","135","25","3","21","65","79","31","119","6","7","3",".279",".328",".473",".801",".335","-1.0","-0.2","1.3","5760"
"Garrett Stubbs","Astros","84","323","290","66","14","1","6","37","29","26","62","4","9","2",".228",".298",".345",".643",".280","5.0","0.8","1.2","18067"
"Jon Berti","Marlins","92","362","323","78","12","3","7","46","29","30","80","7","22","6",".241",".319",".362",".681",".297","5.0","1.6","1.2","12037"
"Jesse Winker","Reds","113","414","359","101","20","1","12","52","46","48","67","5","1","2",".281",".372",".443",".815",".348","-2.0","-0.9","1.2","13590"
"Nick Senzel","Reds","110","457","414","108","25","4","13","59","52","38","118","3","14","6",".261",".326",".435",".761",".322","-1.0","0.0","1.2","19293"
"Jay Bruce","Phillies","109","416","381","95","21","2","25","52","77","32","98","1","2","1",".249",".308",".512",".820",".337","0.0","-0.2","1.2","9892"
"Marwin Gonzalez","Twins","126","487","443","117","26","1","15","55","65","36","103","5","4","2",".264",".326",".429",".755",".320","2.0","-0.3","1.2","5497"
"Scott Kingery","Phillies","137","545","502","124","28","4","17","66","58","33","147","5","16","4",".247",".298",".420",".718",".302","3.0","1.2","1.2","17975"
"Derek Dietrich","Reds","131","424","366","90","18","3","18","54","55","32","103","23","1","1",".246",".342",".459",".801",".339","-6.0","-0.5","1.2","10542"
"Derek Fisher","Blue Jays","117","450","395","90","17","3","20","60","54","49","144","3","12","4",".228",".316",".438",".754",".318","2.0","0.4","1.2","16192"
"Tim Locastro","Diamondbacks","121","456","403","104","24","4","7","59","41","24","80","25","23","3",".258",".337",".390",".727",".316","-3.0","3.0","1.2","15124"
"Corey Dickerson","Marlins","123","473","443","121","30","3","15","53","57","25","94","2","3","2",".273",".313",".456",".769",".318","3.0","-0.5","1.1","10762"
"Franmil Reyes","Indians","147","555","501","128","22","1","35","74","100","48","170","1","1","1",".255",".319",".513",".832",".343","0.0","-0.5","1.1","14566"
"Jake Cave","Twins","128","494","449","116","25","5","17","63","64","35","146","6","4","2",".258",".318",".450",".768",".323","-7.0","-0.3","1.1","14477"
"Cesar Puello","Red Sox","92","354","308","74","12","1","9","39","39","28","90","15","6","3",".240",".331",".373",".705",".307","1.0","-0.3","1.1","7216"
"Josh Reddick","Astros","131","502","458","123","20","2","13","57","54","37","67","0","5","2",".269",".319",".406",".725",".307","3.0","-0.1","1.0","3892"
"Eric Thames","Nationals","122","425","368","89","19","3","24","62","65","49","131","7","4","2",".242",".341",".505",".847",".351","-3.0","-0.3","1.0","3711"
"Leury Garcia","White Sox","134","541","504","135","21","4","9","68","43","20","119","6","14","5",".268",".302",".379",".681",".291","2.0","0.3","1.0","5913"
"Jarrod Dyson","Pirates","111","383","338","80","11","4","4","52","23","36","62","4","25","5",".237",".316",".328",".644",".283","7.0","2.6","1.0","4866"
"Willie Calhoun","Rangers","135","552","502","136","27","2","26","74","75","42","81","4","2","1",".271",".330",".488",".818",".341","-6.0","-0.3","0.9","17838"
"Wil Myers","Padres","136","512","455","109","24","2","21","63","65","52","156","2","16","5",".240",".318",".440",".758",".320","-1.0","0.8","0.9","10047"
"Patrick Kivlehan","Blue Jays","129","459","418","95","19","3","21","54","63","31","135","7","2","3",".227",".290",".438",".728",".305","-1.0","-1.1","0.9","13910"
"Yoenis Cespedes","Mets","63","255","230","59","11","1","13","32","41","21","61","2","1","0",".257",".322",".483",".804",".330","1.0","0.1","0.9","13110"
"Austin Slater","Giants","126","464","407","102","22","2","11","53","52","48","125","7","7","3",".251",".338",".396",".734",".316","1.0","-0.2","0.9","16153"
"Bradley Zimmer","Indians","98","362","322","71","14","2","12","43","40","32","137","5","17","4",".220",".300",".388",".688",".295","4.0","1.5","0.9","16221"
"J.D. Davis","Mets","133","497","452","120","24","1","21","62","65","38","122","3","3","1",".265",".324",".462",".786",".329","-6.0","-0.1","0.9","16219"
"Gregory Polanco","Pirates","99","399","354","87","22","2","16","52","54","40","96","2","8","2",".246",".323",".455",".778",".324","0.0","0.5","0.9","12907"
"Chad Pinder","Athletics","116","385","353","86","19","1","14","47","47","23","99","6","1","1",".244",".299",".422",".722",".305","4.0","-0.4","0.9","15191"
"Nomar Mazara","White Sox","134","544","497","125","23","2","22","64","72","37","129","5","3","1",".252",".307",".439",".746",".312","-1.0","-0.1","0.9","14553"
"Dilson Herrera","Orioles","114","431","391","88","18","1","18","51","53","32","125","5","8","5",".225",".291",".414",".705",".298","3.0","-0.8","0.9","14335"
"Ryan Braun","Brewers","121","450","411","111","24","2","19","59","67","32","90","4","9","3",".270",".327",".477",".804",".334","0.0","0.3","0.9","3410"
"Khris Davis","Athletics","132","547","487","114","19","1","32","70","96","49","159","6","1","0",".234",".309",".474",".783",".325","0.0","0.0","0.9","9112"
"Enrique Hernandez","Dodgers","145","440","390","92","20","2","17","57","61","42","94","3","4","0",".236",".312",".428",".740",".311","-4.0","0.6","0.9","10472"
"Oscar Mercado","Indians","142","600","542","136","28","3","12","73","57","41","124","7","27","12",".251",".310",".380",".690",".297","2.0","-0.1","0.9","16375"
"Jake Marisnick","Mets","119","311","285","64","15","2","11","45","33","17","90","6","10","4",".225",".282",".407",".689",".291","4.0","0.1","0.8","11339"
"Domingo Santana","Indians","133","511","450","113","22","1","24","63","72","55","174","3","7","3",".251",".335",".464",".799",".337","-8.0","-0.2","0.8","10348"
"Cedric Mullins II","Orioles","136","600","547","128","26","5","14","67","55","39","113","4","22","6",".234",".287",".377",".664",".282","5.0","1.5","0.8","17929"
"Steven Souza Jr.","Cubs","96","384","338","79","16","2","15","44","51","40","117","4","8","3",".234",".321",".426",".747",".319","2.0","0.1","0.8","5667"
"Brock Holt","Brewers","102","347","303","80","16","2","6","39","37","35","70","6","4","4",".264",".349",".389",".738",".320","-1.0","-1.2","0.8","9345"
"Aristides Aquino","Reds","131","526","486","115","20","4","30","67","90","34","161","4","8","3",".237",".291",".479",".770",".318","2.0","0.1","0.7","15482"
"Phillip Ervin","Reds","127","448","397","97","19","5","14","53","52","39","112","8","14","8",".244",".322",".423",".745",".317","4.0","-0.9","0.7","14738"
"Tyler Naquin","Indians","100","335","310","83","16","2","10","38","39","19","81","2","4","2",".268",".311",".429",".740",".310","5.0","-0.2","0.7","13359"
"Jose Martinez","Rays","134","449","406","109","19","1","12","50","53","37","96","2","4","1",".268",".330",".409",".739",".316","-3.0","0.1","0.7","7996"
"Tony Kemp","Athletics","130","433","386","99","17","4","7","51","39","36","61","4","11","6",".256",".324",".376",".700",".302","-3.0","-0.7","0.7","14894"
"Brian Goodwin","Angels","124","424","383","93","22","2","15","52","48","34","119","3","7","2",".243",".307",".428",".736",".310","0.0","0.3","0.7","12858"
"Franchy Cordero","Padres","88","353","321","71","13","6","13","44","47","27","132","2","8","2",".221",".285",".421",".705",".297","2.0","0.6","0.7","14567"
"Tim Lopes","Mariners","132","532","487","119","24","2","7","52","44","37","110","3","21","9",".244",".299",".345",".644",".279","4.0","0.0","0.7","14137"
"David Dahl","Rockies","107","428","390","109","24","4","19","63","64","31","115","2","6","4",".279",".333",".508",".841",".348","-1.0","-0.7","0.7","13744"
"Alex Gordon","Royals","132","530","471","115","22","1","11","57","52","43","104","12","6","2",".244",".321",".365",".687",".297","7.0","0.0","0.7","5209"
"Jace Peterson","Brewers","124","433","382","93","19","4","8","47","47","45","84","3","12","4",".243",".326",".377",".703",".304","0.0","0.4","0.7","12325"
"Jon Kemmer","","102","411","368","87","18","2","19","51","57","32","126","9","3","3",".236",".311",".451",".763",".321","-1.0","-0.9","0.7","sa738208"
"Billy McKinney","Blue Jays","123","469","422","97","22","5","16","55","51","38","119","4","1","3",".230",".297",".419",".716",".302","5.0","-1.3","0.7","15654"
"Lourdes Gurriel Jr.","Blue Jays","116","479","446","115","24","1","20","60","67","22","104","6","6","5",".258",".299",".451",".750",".313","0.0","-1.2","0.7","19238"
"Brett Phillips","Royals","129","484","420","84","13","7","14","55","46","56","169","2","16","2",".200",".295",".364",".660",".284","10.0","2.1","0.6","14735"
"Tyler O'Neill","Cardinals","121","447","408","100","17","1","24","61","67","32","147","3","6","1",".245",".302",".468",".770",".320","-3.0","0.6","0.6","15711"
"Mark Payton","Reds","108","411","372","95","19","4","15","51","50","33","88","1","5","4",".255",".315",".449",".764",".320","2.0","-0.9","0.6","sa549855"
"Jonathan Davis","Blue Jays","122","492","433","90","18","3","11","54","42","39","133","14","15","5",".208",".292",".339",".632",".276","6.0","0.6","0.6","15104"
"Billy Hamilton","","132","476","432","101","16","6","2","61","21","38","109","0","35","8",".234",".294",".313",".607",".266","8.0","3.3","0.6","10199"
"Cristian Pache","Braves","134","552","514","124","27","8","14","56","59","33","144","2","6","10",".241",".289",".407",".695",".292","7.0","-3.4","0.6","sa916722"
"Yadiel Hernandez","Nationals","118","466","418","111","17","1","19","59","61","44","109","1","5","3",".266",".335",".447",".783",".329","-3.0","-0.6","0.6","sa724030"
"Randy Arozarena","Rays","120","457","404","98","22","3","11","54","45","34","107","14","16","9",".243",".321",".394",".714",".307","-7.0","-1.0","0.6","19290"
"Hernan Perez","","129","402","377","97","18","2","12","45","44","21","83","0","14","3",".257",".295",".411",".706",".298","0.0","1.3","0.6","5751"
"JaCoby Jones","Tigers","115","436","396","87","20","4","12","49","36","30","134","7","10","4",".220",".285",".381",".666",".284","4.0","0.1","0.6","14818"
"Shin-Soo Choo","Rangers","130","578","495","124","25","1","18","74","50","69","143","13","11","1",".251",".356",".414",".771",".333","0.0","1.4","0.6","3174"
"Ian Miller","","126","527","482","121","22","4","5","56","43","34","97","6","29","6",".251",".307",".344",".651",".282","4.0","2.9","0.6","15156"
"Cameron Maybin","Tigers","103","368","326","84","17","1","8","50","33","39","85","2","12","7",".258",".340",".390",".729",".317","0.0","-0.9","0.6","5223"
