"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Francisco Lindor","Indians","156","709","637","184","41","3","34","113","93","59","101","5","22","6",".289",".351",".523",".874",".360","9.0","1.4","6.0","12916"
"Marcus Semien","Athletics","154","680","605","166","36","4","28","97","84","69","108","1","12","6",".274",".348",".486",".834",".350","4.0","-0.6","5.3","12533"
"Gleyber Torres","Yankees","152","622","558","160","26","1","41","94","115","52","128","4","7","2",".287",".348",".557",".905",".371","-7.0","0.2","4.7","16997"
"Xander Bogaerts","Red Sox","153","677","601","173","42","2","27","102","104","66","120","5","8","2",".288",".360",".499",".860",".360","-5.0","0.4","4.3","12161"
"Trevor Story","Rockies","151","643","580","159","36","5","36","97","99","54","179","6","20","7",".274",".341",".540",".880",".363","6.0","0.6","4.1","12564"
"Ketel Marte","Diamondbacks","155","635","576","169","33","9","22","88","78","52","89","3","10","2",".293",".353",".497",".850",".355","3.0","0.8","4.0","13613"
"Manny Machado","Padres","156","677","608","164","31","2","33","85","100","61","122","3","7","3",".270",".337",".490",".827",".342","4.0","-0.2","3.9","11493"
"Trea Turner","Nationals","139","635","579","163","31","8","20","98","70","50","126","3","44","7",".282",".341",".466",".807",".339","0.0","5.4","3.7","16252"
"Corey Seager","Dodgers","135","561","506","141","36","2","19","78","87","47","108","4","2","1",".279",".342",".470",".813",".340","4.0","-0.3","3.6","13624"
"Carlos Correa","Astros","109","468","406","109","23","1","22","63","85","53","108","3","3","1",".268",".353",".493",".845",".353","0.0","-0.1","3.5","14162"
"Javier Baez","Cubs","156","590","553","151","32","5","31","87","97","29","158","4","14","7",".273",".312",".517",".830",".339","4.0","-0.5","3.5","12979"
"Bo Bichette","Blue Jays","130","536","489","135","29","5","19","73","79","42","90","2","28","11",".276",".335",".472",".807",".339","1.0","0.5","3.3","19612"
"Paul DeJong","Cardinals","151","629","563","140","30","1","28","86","86","50","157","11","6","3",".249",".320",".455",".774",".325","5.0","-0.4","3.3","18015"
"Jorge Polanco","Twins","151","656","590","166","35","7","19","86","83","53","110","4","7","5",".281",".342",".461",".803",".338","-4.0","-1.1","3.2","13152"
"Andrelton Simmons","Angels","133","539","501","138","25","2","9","60","57","31","46","3","12","3",".275",".319",".387",".706",".302","14.0","0.8","3.1","10847"
"Fernando Tatis Jr.","Padres","96","428","385","108","17","6","20","65","60","34","121","6","17","6",".281",".346",".512",".857",".357","-3.0","0.6","2.8","19709"
"Nick Ahmed","Diamondbacks","148","553","500","128","29","5","17","67","73","42","103","3","7","3",".256",".313",".436",".749",".313","10.0","-0.2","2.6","12147"
"Didi Gregorius","Phillies","120","495","459","127","23","3","24","70","81","26","65","4","4","2",".277",".318",".497",".815",".336","1.0","-0.3","2.5","6012"
"Luis Urias","Brewers","143","602","526","132","28","6","14","78","76","59","129","13","6","2",".251",".339",".407",".746",".321","3.0","0.0","2.5","16622"
"Jonathan Villar","Marlins","155","634","569","148","25","3","17","82","57","57","157","3","41","11",".260",".329",".404",".733",".314","2.0","3.1","2.4","10071"
"Jean Segura","Phillies","142","625","581","169","33","4","14","85","60","32","75","7","17","6",".291",".334",".434",".768",".325","0.0","0.5","2.1","5933"
"Willy Adames","Rays","151","610","552","138","23","3","18","71","60","50","160","3","7","4",".250",".314",".400",".715",".304","0.0","-0.7","2.0","15986"
"Chris Taylor","Dodgers","139","514","460","119","29","5","15","67","63","45","135","5","12","3",".259",".329",".441",".771",".325","-5.0","0.8","2.0","13757"
"Tim Anderson","White Sox","146","610","583","160","29","3","21","82","64","20","141","3","19","5",".274",".301",".443",".744",".312","-6.0","1.3","1.9","15172"
"Adalberto Mondesi","Royals","120","497","461","115","22","8","14","62","63","23","141","2","42","7",".249",".285",".423",".708",".296","4.0","5.1","1.9","13769"
"Amed Rosario","Mets","156","638","598","164","28","9","14","76","64","31","118","4","21","10",".274",".313",".421",".734",".309","-3.0","-0.5","1.9","15518"
"J.P. Crawford","Mariners","130","544","475","110","21","4","11","60","53","60","123","4","7","3",".232",".322",".362",".684",".298","2.0","-0.2","1.8","15491"
"Carter Kieboom","Nationals","125","564","498","126","25","3","16","71","64","56","128","6","5","2",".253",".333",".412",".745",".319","-1.0","-0.2","1.7","19958"
"Addison Russell","","120","426","378","92","18","2","12","50","49","38","98","6","4","1",".243",".320",".397",".717",".305","10.0","0.1","1.7","14106"
"Isaac Paredes","Tigers","133","563","506","128","25","3","17","62","58","42","87","9","4","2",".253",".318",".415",".733",".312","1.0","-0.4","1.6","sa920275"
"Wander Franco","Rays","114","494","448","117","20","5","9","55","45","38","51","1","10","12",".261",".316",".388",".704",".299","5.0","-3.5","1.6","sa3007033"
"Myles Straw","Astros","127","526","469","122","14","4","2","62","30","50","102","2","30","7",".260",".333",".320",".653",".290","6.0","2.6","1.6","17620"
"Dansby Swanson","Braves","138","568","507","128","27","4","15","70","69","52","130","3","9","4",".252",".323",".410",".734",".309","2.0","-0.2","1.6","18314"
"Miguel Rojas","Marlins","151","505","465","125","23","1","7","50","45","28","58","6","7","4",".269",".316",".368",".684",".293","7.0","-0.6","1.6","7802"
"Kevin Newman","Pirates","140","589","545","150","28","5","9","64","57","33","74","5","15","7",".275",".321",".394",".715",".304","1.0","-0.4","1.6","17696"
"Aledmys Diaz","Astros","106","396","356","93","19","1","14","51","53","30","56","5","3","2",".261",".323",".438",".761",".320","-4.0","-0.5","1.4","15937"
"Danny Mendick","White Sox","145","575","517","123","21","2","12","62","49","47","120","5","13","6",".238",".305",".356",".661",".287","8.0","-0.3","1.4","18889"
"Asdrubal Cabrera","Nationals","127","506","454","124","28","1","19","63","82","44","97","4","3","0",".273",".340",".465",".805",".338","-8.0","0.3","1.4","4962"
"Elvis Andrus","Rangers","144","615","567","156","30","4","12","78","63","37","91","4","22","8",".275",".321",".406",".726",".309","-1.0","0.6","1.3","8709"
"Brandon Crawford","Giants","137","537","481","118","24","3","11","55","60","46","109","4","3","3",".245",".313",".376",".689",".291","5.0","-1.0","1.3","5343"
"Jose Iglesias","Orioles","139","515","485","129","27","2","8","56","51","21","61","5","8","5",".266",".302",".379",".682",".290","6.0","-0.8","1.3","10231"
"Johan Camargo","Braves","128","440","404","106","24","2","14","52","59","29","88","3","1","1",".262",".315",".436",".751",".315","3.0","-0.4","1.3","14950"
"Nicky Lopez","Royals","131","563","514","135","20","5","5","62","41","39","59","4","11","5",".263",".319",".350",".669",".292","7.0","-0.3","1.2","19339"
"Jon Berti","Marlins","92","362","323","78","12","3","7","46","29","30","80","7","22","6",".241",".319",".362",".681",".297","5.0","1.6","1.2","12037"
"Taylor Walls","Rays","109","483","437","103","20","4","8","52","42","39","106","2","22","14",".236",".298",".355",".653",".281","7.0","-1.9","1.2","sa915802"
"Scott Kingery","Phillies","137","545","502","124","28","4","17","66","58","33","147","5","16","4",".247",".298",".420",".718",".302","3.0","1.2","1.2","17975"
"Nico Hoerner","Cubs","121","508","471","127","21","7","8","60","55","30","59","5","9","5",".270",".319",".395",".714",".305","0.0","-0.6","1.2","21479"
"Mauricio Dubon","Giants","146","622","584","152","26","2","13","67","52","28","93","3","15","8",".260",".296",".378",".675",".287","7.0","-0.8","1.0","16530"
"Willi Castro","Tigers","148","627","576","145","29","6","12","69","58","32","135","10","14","5",".252",".301",".385",".686",".293","-2.0","0.3","1.0","17338"
"Matt Reynolds","Royals","114","409","364","88","22","3","7","46","34","40","98","3","5","2",".242",".321",".376",".697",".301","0.0","-0.1","1.0","13788"
"Jake Cronenworth","Padres","110","488","438","110","20","4","6","56","38","42","87","5","11","5",".251",".322",".356",".678",".296","1.0","-0.3","1.0","sa857694"
"Nate Orf","Athletics","119","483","416","93","18","3","7","55","38","45","88","14","9","3",".224",".317",".332",".648",".286","4.0","0.2","1.0","15407"
"Brendan Rodgers","Rockies","95","381","349","96","19","2","13","48","48","23","80","6","4","2",".275",".328",".453",".781",".328","3.0","-0.3","1.0","17907"
